sl,name,transect,species,count ,trees
196,bik2,24,aerjav,8,0
197,bik4,25,crobur,5,0
198,bik4,25,lassci,191,0
199,bik4,25,solsur,1,0
200,bik4,26,crobur,201,0
201,bik4,26,lassci,6,0
202,bik4,27,crobur,11,0
203,bik4,27,lassci,205,0
204,bik4,27,solsur,2,0
205,bik4,28,crobur,15,0
206,bik4,28,lassci,156,0
207,bik5,29,crobur,257,0
208,bik5,29,lassci,6,0
209,bik5,29,aerjav,7,0
210,bik5,29,leppyr,1,0
211,bik5,30,crobur,201,0
212,bik5,30,lassci,12,0
213,bik5,30,aerjav,19,0
214,bik5,30,leppyr,3,0
215,bik5,30,calpro,1,0
216,bik5,30,procin,1,1
217,bik5,30,ziznum,1,0
218,bik5,31,crobur,105,0
219,bik5,31,lassci,10,0
220,bik5,31,aerjav,23,0
221,bik5,31,leppyr,1,0
222,bik5,31,procin,1,1
223,bik5,32,crobur,206,0
224,bik5,32,aerjav,3,0
225,bik5,32,lassci,4,0
226,bik5,32,leppyr,1,0
227,bik5,32,farsetia,1,0
228,bik5,32,launea,1,0
229,nag1,33,fagind,96,0
230,nag1,33,heliotropium,6,0
231,nag1,33,eupcha,2,0
232,nag1,33,aerjav,1,0
233,nag1,33,solsur,1,0
234,nag1,33,procin,1,0
235,nag1,34,fagind,121,0
236,nag1,34,heliotropium,8,0
237,nag1,34,eupcha,2,0
238,nag1,34,aerjav,1,0
239,nag1,34,solsur,1,0
240,nag1,34,procin,1,1
241,nag1,35,fagind,139,0
242,nag1,35,heliotropium,3,0
243,nag1,35,eupcha,1,0
244,nag1,35,procin,1,1
245,chu1,36,crobur,60,0
246,chu1,36,crobur,36,0
247,chu1,36,verbascina,10,0
248,chu1,36,citcol,4,0
249,chu1,36,aerjav,9,0
250,chu1,36,solsur,3,0
251,chu1,36,leppyr,3,0
252,chu1,36,mimham,2,0
253,chu1,36,procin,2,2
254,chu1,37,crobur,70,0
255,chu1,37,crobur,12,0
256,chu1,37,verbascina,2,0
257,chu1,37,citcol,2,0
258,chu1,37,aerjav,2,0
259,chu1,37,solsur,3,0
260,chu1,37,solanum,1,0
261,chu1,37,calpro,1,0
262,chu1,37,procin,7,7
263,chu2,38,crobur,7,0
264,chu2,38,crobur,120,0
265,chu2,38,leppyr,3,0
266,chu2,38,aerjav,1,0
267,chu2,38,calpro,2,0
268,chu2,38,citcol,1,0
269,chu2,38,verbascina,2,0
270,chu2,38,acator,1,0
271,chu2,38,launea,1,0
272,chu2,38,procin,1,1
273,chu2,39,crobur,5,0
274,chu2,39,crobur,125,0
275,chu2,39,leppyr,15,0
276,chu2,39,leppyr,3,0
277,chu2,39,aerjav,1,0
278,chu2,39,calpro,1,0
279,chu2,39,lassci,3,0
280,chu2,39,boedif,1,0
281,chu2,39,mirhir,1,0
282,chu2,39,acator,1,0
283,chu2,39,procin,3,3
