name,transect,bg
jai1,1,3.7
jai1,1,0.6
jai1,1,0.2
jai1,1,0.3
jai1,1,0.6
jai1,1,2.8
jai1,1,0.7
jai1,1,1.2
jai1,1,4.8
jai1,1,4.9
jai1,1,1.4
jai1,1,0.3
jai1,1,0.3
jai1,1,0.3
jai1,1,0.4
jai1,1,0.2
jai1,1,1.8
jai1,1,0.8
jai1,2,0.6
jai1,2,1.7
jai1,2,1.6
jai1,2,1.5
jai1,2,1.4
jai1,2,2.5
jai1,2,2.1
jai1,2,0.7
jai1,2,1.1
jai1,2,0.4
jai1,2,0.2
jai1,2,0.5
jai1,2,0.1
jai1,2,0.4
jai1,2,1.3
jai1,2,0.6
jai1,2,0.3
jai1,2,0.8
jai1,2,0.7
jai1,2,0.6
jai1,2,1.7
jai1,2,0.4
jai1,3,0.2
jai1,3,0.1
jai1,3,0.1
jai1,3,0.7
jai1,3,0.2
jai1,3,0.2
jai1,3,3.5
jai1,3,0.3
jai1,3,0.3
jai1,3,3.2
jai1,3,0.7
jai1,3,0.7
jai1,3,0.4
jai1,3,1.7
jai1,3,1.2
jai1,3,0.5
jai1,3,0.2
jai1,3,0.4
jai1,3,1.9
jai1,3,0.4
jai1,3,1.3
jai1,3,0.3
jai1,3,0.1
jai1,3,0.2
jai1,3,1.3
jai1,3,1.5
jai1,3,0.3
jai1,4,0.2
jai1,4,3
jai1,4,1
jai1,4,2
jai1,4,0.2
jai1,4,0.3
jai1,4,0.4
jai1,4,1
jai1,4,0.5
jai1,4,0.1
jai1,4,0.5
jai1,4,0.1
jai1,4,1
jai1,4,0.1
jai1,4,0.4
jai1,4,0.1
jai1,4,0.3
jai1,4,0.2
jai1,4,0.7
jai1,4,0.4
jai1,4,0.4
jai1,4,0.4
jai1,4,0.2
jai1,4,0.3
jai1,4,0.4
jai1,4,1.2
jai1,4,0.6
jai1,4,0.2
jai1,4,0.2
jai1,4,0.3
jai1,4,0.3
jai1,4,0.1
jai1,4,0.2
jai1,4,0.5
jai1,4,1.7
jai1,4,0.2
jai1,4,0.1
jai1,4,1.1
jai1,4,0.5
jai1,5,0.1
jai1,5,0.4
jai1,5,0.1
jai1,5,0.1
jai1,5,0.4
jai1,5,0.2
jai1,5,0.3
jai1,5,0.3
jai1,5,0.1
jai1,5,0.2
jai1,5,0.3
jai1,5,0.3
jai1,5,1
jai1,5,0.9
jai1,5,0.4
jai1,5,0.1
jai1,5,0.9
jai1,5,2
jai1,5,2.1
jai1,5,0.2
jai1,5,0.9
jai1,5,0.8
jai1,5,0.8
jai1,5,0.8
jai1,5,0.7
jai1,5,0.2
jai1,5,0.2
jai1,5,0.6
jai1,5,3
jai1,5,0.1
jai1,5,0.4
jai1,5,0.5
jai1,5,2.7
jai1,5,0.3
jai1,5,1.2
jai1,5,1
jai1,5,0.5
jai1,5,0.1
jai1,5,1
jai1,5,0.7
jai1,5,0.9
jai1,5,1
jai1,5,0.2
jai1,5,0.5
jai1,5,0.4
jai1,5,0.3
jai1,5,0.6
jai1,5,0.1
jai1,5,0.4
jai1,5,0.2
jai1,5,1.5
jai1,5,1.4
jai1,5,0.3
jai1,5,0.1
jai1,5,0.2
jai1,5,0.3
jai1,5,0.4
jai1,6,0.2
jai1,6,0.3
jai1,6,0.1
jai1,6,0.1
jai1,6,0.2
jai1,6,0.3
jai1,6,0.2
jai1,6,0.7
jai1,6,0.3
jai1,6,0.2
jai1,6,0.1
jai1,6,0.1
jai1,6,0.1
jai1,6,0.1
jai1,6,0.3
jai1,6,0.2
jai1,6,0.6
jai1,6,0.3
jai1,6,0.4
jai1,6,0.2
jai1,6,0.3
jai1,6,0.2
jai1,6,0.7
jai1,6,4.8
jai1,6,1.1
jai1,6,0.3
jai1,6,0.2
jai1,6,0.2
jai1,6,0.7
jai1,6,1.2
jai1,6,1
jai1,6,0.2
jai1,6,2.4
jai1,6,2
jai1,6,0.1
jai1,6,0.2
jai1,6,0.3
jai1,6,1.1
jai1,6,0.3
jai1,6,0.5
jai1,6,0.4
jai1,6,0.8
jai1,6,0.5
jai1,6,0.4
jai1,6,0.4
jai2,7,3
jai2,7,2.7
jai2,7,0.4
jai2,7,0.6
jai2,7,8.4
jai2,7,0.8
jai2,7,1.6
jai2,7,0.9
jai2,7,0.3
jai2,7,0.9
jai2,7,1.2
jai2,7,6.4
jai2,7,0.7
jai2,7,3.6
jai2,7,1.6
jai2,7,0.4
jai2,7,1.5
jai2,7,0.5
jai2,7,3
jai2,7,1.3
jai2,8,0.4
jai2,8,3.2
jai2,8,0.7
jai2,8,3.6
jai2,8,1
jai2,8,0.6
jai2,8,0.7
jai2,8,1.9
jai2,8,1.8
jai2,8,1.3
jai2,8,1.7
jai2,8,1.1
jai2,8,1
jai2,8,1.8
jai2,8,0.4
jai2,8,0.5
jai2,8,0.3
jai2,8,0.7
jai2,8,1.6
jai2,8,7.2
jai2,9,3.7
jai2,9,4.6
jai2,9,2.4
jai2,9,3.4
jai2,9,2.4
jai2,9,0.3
jai2,9,2.2
jai2,9,1.7
jai2,9,0.4
jai2,9,2.5
jai2,9,0.4
jai2,9,0.3
jai2,9,1.9
jai2,9,3.8
jai2,9,3.3
jai2,9,0.6
jai2,9,1
jai2,10,2.3
jai2,10,0.7
jai2,10,0.3
jai2,10,0.6
jai2,10,2.4
jai2,10,3.3
jai2,10,2.4
jai2,10,0.4
jai2,10,1.5
jai2,10,1
jai2,10,0.3
jai2,10,1.4
jai2,10,1.1
jai2,10,6
jai2,10,1.2
jai2,10,0.3
jai2,10,0.6
jai2,10,0.6
jai2,10,6.6
jai2,10,0.9
jai2,11,3.1
jai2,11,0.3
jai2,11,2.3
jai2,11,0.4
jai2,11,1.3
jai2,11,2.5
jai2,11,1
jai2,11,5.2
jai2,11,2.8
jai2,11,0.5
jai2,11,0.3
jai2,11,1.9
jai2,11,5
jai2,11,3.8
jai2,11,1.3
jai2,11,1.8
jai2,12,0.6
jai2,12,8.4
jai2,12,5.5
jai2,12,4.1
jai2,12,1.1
jai2,12,4
jai2,12,0.5
jai2,12,4.9
jai2,12,0.6
jai2,12,2.2
jai2,12,1.4
jai2,12,0.3
jai2,12,0.5
jai2,12,2.5
jai2,12,0.4
jai2,12,1.5
jai2,12,0.6
jai2,12,1.4
jai2,12,1.4
jai3,13,2.2
jai3,13,31
jai3,13,1.5
jai3,13,2.1
jai3,13,3.6
jai3,13,0.5
jai3,13,2.2
jai3,13,0.2
jai3,13,0.4
jai3,13,1.8
jai3,14,1.7
jai3,14,0.3
jai3,14,2.8
jai3,14,3
jai3,14,1.4
jai3,14,3.9
jai3,14,0.6
