species,family,type,seed.size.cat,dispersers,Mammals,Other,small birds,large birds,ungulate,bat,civet,primate,elephant,bear,rodent,wind,water,other mechanical,trees per ha,saplings per ha,saplings per tree
Act.ang,Lauraceae,fleshy,M,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,50,25
Bei.wig,Lauraceae,fleshy,L,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,50,25
Syz.lae,Myrtaceae,fleshy,L,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,75,37.5
Lit.sp,Lauraceae,fleshy,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,175,87.5
Act.bou,Lauraceae,fleshy,S,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Can.str,Burseraceae,fleshy,L,3,2,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
Dio.syl,Ebenaceae,fleshy,M,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Ele.gla,Elaeocarpaceae,fleshy,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Ele.mun,Elaeocarpaceae,fleshy,L,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0
Ele.ser,Elaeocarpaceae,fleshy,L,2,2,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
Fic.vir,Moraceae,fleshy,S,3,2,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0
Lit.mys,Lauraceae,fleshy,S,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
Mal.tet,Euphorbiaceae,dry,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Pod.lat,Podocarpaceae,dry,L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
Pru.cey,Rosaceae,fleshy,L,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
Act.tad,Lauraceae,fleshy,M,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,1,25,25
Neo.zey,Lauraceae,fleshy,M,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,25,25
Rap.wig,Myrsinaceae,fleshy,S,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,25,25
Syz.car,Myrtaceae,fleshy,M,2,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,25,25
Cin.mal,Lauraceae,fleshy,S,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,125,125
Agl.sim,Meliaceae,fleshy,L,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,350,350
Ard.bla,Myrsinaceae,fleshy,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10025
Cal.pol,Clusiaceae,fleshy,L,2,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,25,10025
Dys.mal,Meliaceae,fleshy-aril,L,2,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,25,10025
Lit.dec,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10025
Mal.ste,Euphorbiaceae,dry,,2,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,25,10025
Mei.ana,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10025
Pho.lan,Lauraceae,fleshy,M,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,25,10025
Sol.gig,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,10025
Syz.gar,Myrtaceae,fleshy,M,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,10025
Syz.hem,Myrtaceae,fleshy,L,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,25,10025
Ard.pau,Myrsinaceae,fleshy,M,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50,10050
Ery.mys,Papilionaceae,dry,L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,10050
Iso.lan,Sapotaceae,fleshy,M,3,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,50,10050
Mur.pan,Rutaceae,fleshy,L,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,50,10050
Pod.wal,Podocarpaceae,dry,L,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,50,10050
Apo.arn,Lauraceae,fleshy,M,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,75,10075
Cas.esc,Flacourtiaceae,fleshy-aril,S,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,100,10100
Mil.wig,Annonaceae,fleshy,M,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,125,10125
Apo.sil,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,10375
Cro.zey,Euphorbiaceae,dry,M,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,475,10475
