Seed,Nest,Ini,Species,Speciesd,Day,Mon,Status
5,9WH05,13,CA,CA,37,13,1
6,9WH05,13,CA,CA,37,13,1
7,9WH05,13,CA,CA,37,13,1
8,9WH05,13,CA,CA,37,13,1
9,9WH05,13,CA,CA,37,13,1
10,9WH05,13,CA,CA,49,17,1
11,9WH05,13,CA,CA,52,18,1
12,9WH05,13,CA,CA,58,20,1
13,9WH05,13,CA,CA,64,22,1
1,33GH14,20,KH,KH1,79,2,1
2,33GH14,20,KH,KH1,90,6,1
3,33GH14,20,KH,KH1,90,6,1
4,33GH14,20,KH,KH1,90,6,1
5,33GH14,20,KH,KH1,90,6,1
6,33GH14,20,KH,KH1,90,6,1
7,33GH14,20,KH,KH1,90,6,1
8,33GH14,20,KH,KH1,90,6,1
9,33GH14,20,KH,KH1,90,6,1
10,33GH14,20,KH,KH1,90,6,1
11,33GH14,20,KH,KH1,90,6,1
12,33GH14,20,KH,KH1,90,6,1
13,33GH14,20,KH,KH1,90,6,1
14,33GH14,20,KH,KH1,90,6,1
15,33GH14,20,KH,KH1,90,6,1
16,33GH14,20,KH,KH1,90,6,1
17,33GH14,20,KH,KH1,90,6,1
18,33GH14,20,KH,KH1,90,6,1
19,33GH14,20,KH,KH1,108,12,1
20,33GH14,20,KH,KH1,108,12,1
1,7WH13,20,KH,KH1,81,3,1
2,7WH13,20,KH,KH1,81,3,1
3,7WH13,20,KH,KH1,90,6,1
4,7WH13,20,KH,KH1,90,6,1
5,7WH13,20,KH,KH1,93,7,1
6,7WH13,20,KH,KH1,93,7,1
7,7WH13,20,KH,KH1,102,10,1
8,7WH13,20,KH,KH1,108,12,1
9,7WH13,20,KH,KH1,108,12,1
10,7WH13,20,KH,KH1,108,12,1
11,7WH13,20,KH,KH1,108,12,1
12,7WH13,20,KH,KH1,111,13,0
13,7WH13,20,KH,KH1,111,13,0
14,7WH13,20,KH,KH1,111,13,0
15,7WH13,20,KH,KH1,111,13,0
16,7WH13,20,KH,KH1,111,13,0
17,7WH13,20,KH,KH1,111,13,0
18,7WH13,20,KH,KH1,111,13,0
19,7WH13,20,KH,KH1,111,13,0
20,7WH13,20,KH,KH1,111,13,0
1,1WH01,20,KH,KH1,81,3,1
2,1WH01,20,KH,KH1,81,3,1
3,1WH01,20,KH,KH1,90,6,1
4,1WH01,20,KH,KH1,90,6,1
5,1WH01,20,KH,KH1,96,8,1
6,1WH01,20,KH,KH1,102,10,1
7,1WH01,20,KH,KH1,105,11,1
8,1WH01,20,KH,KH1,108,12,1
9,1WH01,20,KH,KH1,108,12,1
10,1WH01,20,KH,KH1,108,12,1
11,1WH01,20,KH,KH1,108,12,1
12,1WH01,20,KH,KH1,108,12,1
13,1WH01,20,KH,KH1,108,12,1
14,1WH01,20,KH,KH1,111,13,1
15,1WH01,20,KH,KH1,111,13,1
16,1WH01,20,KH,KH1,111,13,1
17,1WH01,20,KH,KH1,111,13,1
18,1WH01,20,KH,KH1,111,13,1
19,1WH01,20,KH,KH1,111,13,0
20,1WH01,20,KH,KH1,111,13,0
1,2WH02/GH01,20,KH,KH1,90,6,1
2,2WH02/GH01,20,KH,KH1,90,6,1
3,2WH02/GH01,20,KH,KH1,93,7,1
4,2WH02/GH01,20,KH,KH1,99,9,1
5,2WH02/GH01,20,KH,KH1,102,10,1
6,2WH02/GH01,20,KH,KH1,105,11,1
7,2WH02/GH01,20,KH,KH1,105,11,1
8,2WH02/GH01,20,KH,KH1,105,11,1
9,2WH02/GH01,20,KH,KH1,105,11,1
10,2WH02/GH01,20,KH,KH1,105,11,1
11,2WH02/GH01,20,KH,KH1,108,12,1
12,2WH02/GH01,20,KH,KH1,108,12,1
13,2WH02/GH01,20,KH,KH1,108,12,1
14,2WH02/GH01,20,KH,KH1,108,12,1
15,2WH02/GH01,20,KH,KH1,108,12,1
16,2WH02/GH01,20,KH,KH1,108,12,1
17,2WH02/GH01,20,KH,KH1,108,12,1
18,2WH02/GH01,20,KH,KH1,108,12,1
19,2WH02/GH01,20,KH,KH1,111,13,1
20,2WH02/GH01,20,KH,KH1,111,13,1
1,4WH02,20,KH,KH1,79,2,1
2,4WH02,20,KH,KH1,81,3,1
3,4WH02,20,KH,KH1,81,3,1
4,4WH02,20,KH,KH1,81,3,1
5,4WH02,20,KH,KH1,81,3,1
6,4WH02,20,KH,KH1,81,3,1
7,4WH02,20,KH,KH1,81,3,1
8,4WH02,20,KH,KH1,90,6,1
9,4WH02,20,KH,KH1,99,9,1
10,4WH02,20,KH,KH1,105,11,1
11,4WH02,20,KH,KH1,105,11,1
12,4WH02,20,KH,KH1,105,11,1
13,4WH02,20,KH,KH1,108,12,1
14,4WH02,20,KH,KH1,108,12,1
15,4WH02,20,KH,KH1,108,12,1
16,4WH02,20,KH,KH1,108,12,1
17,4WH02,20,KH,KH1,108,12,1
18,4WH02,20,KH,KH1,108,12,1
19,4WH02,20,KH,KH1,108,12,1
20,4WH02,20,KH,KH1,108,12,1
1,33GH14,14,AM,AM,90,6,1
2,33GH14,14,AM,AM,90,6,1
3,33GH14,14,AM,AM,96,8,1
4,33GH14,14,AM,AM,102,10,1
