sp1_name,sp2_name,sp1_inc,sp2_inc,obs_cooccur,exp_cooccur,prob_cooccur,p_lt,p_gt,,,,,,
FS2,FWND,27,6,1,1.7,0.018,0.45663,0.87069,,,,,,
FS2,T1,27,9,3,2.5,0.026,0.78036,0.49009,,,,,,
FS2,T2,27,49,16,13.8,0.144,0.89175,0.21782,,,,,,
FS2,T3,27,9,3,2.5,0.026,0.78036,0.49009,,,,,,
FS2,TND,27,11,3,3.1,0.032,0.62768,0.64965,,,,,,
FS2,C1,27,5,2,1.4,0.015,0.8666,0.43426,,,,,,
FS2,C2,27,8,3,2.2,0.023,0.84797,0.39994,,,,,,
FS2,C3,27,5,2,1.4,0.015,0.8666,0.43426,,,,,,
FS2,CND,27,7,5,2,0.021,0.99821,0.01768,,,,,,
FS2,GS1,27,12,6,3.4,0.035,0.98052,0.07628,,,,,,
FS2,I1,27,4,1,1.1,0.012,0.68608,0.73976,,,,,,
FS2,I2,27,14,3,3.9,0.041,0.4023,0.82063,,,,,,
FS2,I3,27,8,3,2.2,0.023,0.84797,0.39994,,,,,,
FS2,I4,27,4,1,1.1,0.012,0.68608,0.73976,,,,,,
FS2,O1,27,22,6,6.2,0.064,0.57515,0.63719,,,,,,
FS2,O2,27,4,3,1.1,0.012,0.99472,0.06604,,,,,,
FS2,G1,27,5,2,1.4,0.015,0.8666,0.43426,,,,,,
FS2,G2,27,6,1,1.7,0.018,0.45663,0.87069,,,,,,
FS2.1,FS3,30,25,9,7.8,0.081,0.80252,0.36029,,,,,,
FS2.1,FS4,30,10,2,3.1,0.033,0.33864,0.88285,,,,,,
FS2.1,FS5,30,35,17,10.9,0.114,0.99855,0.00579,,,,,,
FS2.1,FS5.1,30,21,7,6.6,0.068,0.69588,0.50555,,,,,,
FS2.1,FS5.2,30,8,3,2.5,0.026,0.79121,0.48243,,,,,,
FS2.1,FS6,30,21,7,6.6,0.068,0.69588,0.50555,,,,,,
FS2.1,ND,30,9,2,2.8,0.029,0.42274,0.83855,,,,,,
FS2.1,SS1,30,11,3,3.4,0.036,0.53095,0.73347,,,,,,
FS2.1,SS2,30,11,2,3.4,0.036,0.26653,0.91605,,,,,,
FS2.1,SS3,30,7,3,2.2,0.023,0.86568,0.37981,,,,,,
FS2.1,FW1,30,50,22,15.6,0.163,0.99896,0.00441,,,,,,
FS2.1,FW2,30,5,2,1.6,0.016,0.8256,0.50006,,,,,,
FS2.1,FW3,30,16,7,5,0.052,0.92745,0.18633,,,,,,
FS2.1,FWND1,30,29,14,9.1,0.094,0.9949,0.01779,,,,,,
FS2.1,FWND2,30,45,23,14.1,0.146,0.99999,8.00E-05,,,,,,
FS2.1,FWND3,30,38,13,11.9,0.124,0.7685,0.38726,,,,,,
FS2.1,FWND4,30,7,1,2.2,0.023,0.29403,0.93466,,,,,,
FS2.1,FWND,30,6,3,1.9,0.02,0.9258,0.2746,,,,,,
FS2.1,T1,30,9,4,2.8,0.029,0.89615,0.29275,,,,,,
FS2.1,T2,30,49,20,15.3,0.16,0.98933,0.03199,,,,,,
FS2.1,T3,30,9,5,2.8,0.029,0.97537,0.10385,,,,,,
FS2.1,TND,30,11,6,3.4,0.036,0.97995,0.08022,,,,,,
FS2.1,C1,30,5,2,1.6,0.016,0.8256,0.50006,,,,,,
FS2.1,C2,30,8,4,2.5,0.026,0.94016,0.20879,,,,,,
FS2.1,C3,30,5,0,1.6,0.016,0.14621,1,,,,,,
FS2.1,CND,30,7,2,2.2,0.023,0.62019,0.70597,,,,,,
FS2.1,GS1,30,12,7,3.8,0.039,0.99209,0.03704,,,,,,
FS2.1,I1,30,4,1,1.2,0.013,0.63021,0.78304,,,,,,
FS2.1,I2,30,14,5,4.4,0.046,0.76264,0.45778,,,,,,
FS2.1,I3,30,8,1,2.5,0.026,0.21951,0.95669,,,,,,
FS2.1,I4,30,4,2,1.2,0.013,0.91109,0.36979,,,,,,
FS2.1,O1,30,22,7,6.9,0.072,0.63411,0.57073,,,,,,
FS2.1,O2,30,4,2,1.2,0.013,0.91109,0.36979,,,,,,
FS2.1,G1,30,5,1,1.6,0.016,0.49994,0.85379,,,,,,
FS2.1,G2,30,6,1,1.9,0.02,0.38721,0.90199,,,,,,
FS3,FS4,25,10,3,2.6,0.027,0.76012,0.51105,,,,,,
FS3,FS5,25,35,10,9.1,0.095,0.75001,0.42226,,,,,,
FS3,FS5.1,25,21,6,5.5,0.057,0.72444,0.48262,,,,,,
FS3,FS5.2,25,8,3,2.1,0.022,0.88082,0.34501,,,,,,
FS3,FS6,25,21,7,5.5,0.057,0.87234,0.27556,,,,,,
FS3,ND,25,9,4,2.3,0.024,0.95139,0.17564,,,,,,
FS3,SS1,25,11,6,2.9,0.03,0.99394,0.0322,,,,,,
FS3,SS2,25,11,7,2.9,0.03,0.99924,0.00606,,,,,,
FS3,SS3,25,7,2,1.8,0.019,0.73968,0.58803,,,,,,
FS3,FW1,25,50,10,13,0.136,0.12028,0.94965,,,,,,
FS3,FW2,25,5,2,1.3,0.014,0.89093,0.38959,,,,,,
FS3,FW3,25,16,5,4.2,0.043,0.80018,0.40524,,,,,,
FS3,FWND1,25,29,12,7.6,0.079,0.99296,0.02455,,,,,,
FS3,FWND2,25,45,13,11.7,0.122,0.79681,0.35737,,,,,,
FS3,FWND3,25,38,11,9.9,0.103,0.77804,0.38432,,,,,,
FS3,FWND4,25,7,4,1.8,0.019,0.98783,0.07283,,,,,,
FS3,FWND,25,6,4,1.6,0.016,0.99574,0.03817,,,,,,
FS3,T1,25,9,1,2.3,0.024,0.26258,0.94256,,,,,,
FS3,T2,25,49,13,12.8,0.133,0.6341,0.54843,,,,,,
FS3,T3,25,9,3,2.3,0.024,0.82436,0.4297,,,,,,
FS3,TND,25,11,5,2.9,0.03,0.9678,0.11849,,,,,,
FS3,C1,25,5,0,1.3,0.014,0.21301,1,,,,,,
FS3,C2,25,8,3,2.1,0.022,0.88082,0.34501,,,,,,
FS3,C3,25,5,4,1.3,0.014,0.99913,0.01556,,,,,,
FS3,CND,25,7,5,1.8,0.019,0.9989,0.01217,,,,,,
FS3,GS1,25,12,4,3.1,0.033,0.83438,0.38107,,,,,,
FS3,I1,25,4,0,1,0.011,0.29249,1,,,,,,
FS3,I2,25,14,5,3.6,0.038,0.88682,0.27853,,,,,,
FS3,I3,25,8,2,2.1,0.022,0.65499,0.66903,,,,,,
FS3,I4,25,4,2,1,0.011,0.94703,0.27738,,,,,,
FS3,O1,25,22,7,5.7,0.06,0.83684,0.32802,,,,,,
FS3,O2,25,4,3,1,0.011,0.99619,0.05297,,,,,,
FS3,G1,25,5,2,1.3,0.014,0.89093,0.38959,,,,,,
FS3,G2,25,6,2,1.6,0.016,0.82003,0.4944,,,,,,
FS4,FS5,10,35,3,3.6,0.038,0.47028,0.78286,,,,,,
FS4,FS5.1,10,21,5,2.2,0.023,0.9934,0.03773,,,,,,
FS4,FS6,10,21,3,2.2,0.023,0.85543,0.3786,,,,,,
FS4,SS1,10,11,1,1.1,0.012,0.67892,0.72259,,,,,,
FS4,SS2,10,11,1,1.1,0.012,0.67892,0.72259,,,,,,
FS4,FW1,10,50,5,5.2,0.054,0.5753,0.68217,,,,,,
FS4,FW3,10,16,1,1.7,0.017,0.47491,0.85403,,,,,,
FS4,FWND1,10,29,4,3,0.031,0.85852,0.35161,,,,,,
FS4,FWND2,10,45,5,4.7,0.049,0.70712,0.54732,,,,,,
FS4,FWND3,10,38,6,4,0.041,0.95743,0.14641,,,,,,
FS4,T2,10,49,8,5.1,0.053,0.99071,0.05251,,,,,,
FS4,TND,10,11,1,1.1,0.012,0.67892,0.72259,,,,,,
FS4,GS1,10,12,2,1.2,0.013,0.89149,0.36359,,,,,,
FS4,I2,10,14,2,1.5,0.015,0.84091,0.44663,,,,,,
FS4,O1,10,22,1,2.3,0.024,0.27925,0.93631,,,,,,
FS5,FS5.1,35,21,9,7.7,0.08,0.8282,0.32902,,,,,,
FS5,FS5.2,35,8,1,2.9,0.03,0.13736,0.97779,,,,,,
FS5,FS6,35,21,8,7.7,0.08,0.67098,0.52655,,,,,,
FS5,ND,35,9,4,3.3,0.034,0.81363,0.42663,,,,,,
FS5,SS1,35,11,4,4,0.042,0.63511,0.62391,,,,,,
FS5,SS2,35,11,4,4,0.042,0.63511,0.62391,,,,,,
FS5,SS3,35,7,5,2.6,0.027,0.99113,0.05871,,,,,,
FS5,FW1,35,50,25,18.2,0.19,0.99911,0.00361,,,,,,
FS5,FW2,35,5,3,1.8,0.019,0.94244,0.25352,,,,,,
FS5,FW3,35,16,8,5.8,0.061,0.9336,0.17105,,,,,,
FS5,FWND1,35,29,9,10.6,0.11,0.31267,0.83052,,,,,,
FS5,FWND2,35,45,24,16.4,0.171,0.99974,0.00121,,,,,,
FS5,FWND3,35,38,10,13.9,0.144,0.07199,0.97165,,,,,,
FS5,FWND4,35,7,3,2.6,0.027,0.78319,0.50337,,,,,,
FS5,FWND,35,6,3,2.2,0.023,0.87353,0.38056,,,,,,
FS5,T1,35,9,5,3.3,0.034,0.94429,0.18637,,,,,,
FS5,T2,35,49,23,17.9,0.186,0.99193,0.02419,,,,,,
FS5,T3,35,9,3,3.3,0.034,0.57337,0.70692,,,,,,
FS5,TND.1,35,3,1,1.1,0.011,0.70017,0.74811,,,,,,
FS5,TND2,35,3,2,1.1,0.011,0.95419,0.29983,,,,,,
FS5,TND,35,11,6,4,0.042,0.94901,0.16049,,,,,,
FS5,C1,35,5,1,1.8,0.019,0.39615,0.90267,,,,,,
FS5,C2,35,8,2,2.9,0.03,0.38651,0.86264,,,,,,
FS5,C3,35,5,2,1.8,0.019,0.74648,0.60385,,,,,,
FS5,CND,35,7,4,2.6,0.027,0.94129,0.21681,,,,,,
FS5,GS1,35,12,4,4.4,0.046,0.54064,0.70619,,,,,,
FS5,I1,35,4,2,1.5,0.015,0.86405,0.46372,,,,,,
FS5,I2,35,14,6,5.1,0.053,0.80054,0.39921,,,,,,
FS5,I3,35,8,4,2.9,0.03,0.88622,0.31985,,,,,,
FS5,I4,35,4,3,1.5,0.015,0.98424,0.13595,,,,,,
FS5,O1,35,22,9,8,0.084,0.77369,0.40013,,,,,,
FS5,O2,35,4,1,1.5,0.015,0.53628,0.84291,,,,,,
FS5,G1,35,5,1,1.8,0.019,0.39615,0.90267,,,,,,
FS5,G2,35,6,1,2.2,0.023,0.2845,0.94011,,,,,,
FS5,G3,35,3,1,1.1,0.011,0.70017,0.74811,,,,,,
FS5.1,FS5.2,21,8,2,1.7,0.018,0.76046,0.55843,,,,,,
FS5.1,FS6,21,21,6,4.6,0.048,0.8713,0.28684,,,,,,
FS5.1,ND,21,9,1,2,0.021,0.37013,0.90313,,,,,,
FS5.1,SS1,21,11,3,2.4,0.025,0.80645,0.44799,,,,,,
FS5.1,SS2,21,11,3,2.4,0.025,0.80645,0.44799,,,,,,
FS5.1,SS3,21,7,2,1.5,0.016,0.82538,0.47871,,,,,,
FS5.1,FW1,21,50,12,10.9,0.114,0.77947,0.39148,,,,,,
FS5.1,FW2,21,5,1,1.1,0.011,0.69995,0.71763,,,,,,
FS5.1,FW3,21,16,5,3.5,0.036,0.90384,0.24666,,,,,,
FS5.1,FWND1,21,29,5,6.3,0.066,0.33151,0.83907,,,,,,
FS5.1,FWND2,21,45,14,9.8,0.103,0.98972,0.03498,,,,,,
FS5.1,FWND3,21,38,12,8.3,0.087,0.98207,0.05478,,,,,,
FS5.1,FWND4,21,7,2,1.5,0.016,0.82538,0.47871,,,,,,
FS5.1,FWND,21,6,2,1.3,0.014,0.8835,0.39183,,,,,,
FS5.1,T1,21,9,3,2,0.021,0.89817,0.30839,,,,,,
FS5.1,T2,21,49,12,10.7,0.112,0.81024,0.35046,,,,,,
FS5.1,T3,21,9,3,2,0.021,0.89817,0.30839,,,,,,
FS5.1,TND,21,11,2,2.4,0.025,0.55201,0.74707,,,,,,
FS5.1,C1,21,5,0,1.1,0.011,0.28237,1,,,,,,
FS5.1,C2,21,8,2,1.7,0.018,0.76046,0.55843,,,,,,
FS5.1,C3,21,5,1,1.1,0.011,0.69995,0.71763,,,,,,
FS5.1,CND,21,7,0,1.5,0.016,0.16652,1,,,,,,
FS5.1,GS1,21,12,3,2.6,0.027,0.75257,0.51484,,,,,,
FS5.1,I2,21,14,4,3.1,0.032,0.84335,0.36397,,,,,,
FS5.1,I3,21,8,3,1.7,0.018,0.93357,0.23954,,,,,,
FS5.1,O1,21,22,7,4.8,0.05,0.93907,0.16033,,,,,,
FS5.1,G1,21,5,2,1.1,0.011,0.93194,0.30005,,,,,,
FS5.1,G2,21,6,2,1.3,0.014,0.8835,0.39183,,,,,,
FS5.2,FS6,8,21,1,1.7,0.018,0.44157,0.87277,,,,,,
FS5.2,FW1,8,50,4,4.2,0.043,0.59471,0.6887,,,,,,
FS5.2,FW3,8,16,0,1.3,0.014,0.21861,1,,,,,,
FS5.2,FWND1,8,29,4,2.4,0.025,0.94836,0.18893,,,,,,
FS5.2,FWND2,8,45,2,3.8,0.039,0.17855,0.95591,,,,,,
FS5.2,FWND3,8,38,4,3.2,0.033,0.8429,0.39328,,,,,,
FS5.2,T2,8,49,6,4.1,0.043,0.96615,0.14785,,,,,,
FS5.2,GS1,8,12,2,1,0.01,0.94098,0.26134,,,,,,
FS5.2,I2,8,14,0,1.2,0.012,0.26879,1,,,,,,
FS5.2,O1,8,22,4,1.8,0.019,0.98551,0.07797,,,,,,
FS6,ND,21,9,2,2,0.021,0.69161,0.62987,,,,,,
FS6,SS1,21,11,3,2.4,0.025,0.80645,0.44799,,,,,,
FS6,SS2,21,11,4,2.4,0.025,0.94115,0.19355,,,,,,
FS6,SS3,21,7,2,1.5,0.016,0.82538,0.47871,,,,,,
FS6,FW1,21,50,14,10.9,0.114,0.96198,0.10218,,,,,,
FS6,FW2,21,5,2,1.1,0.011,0.93194,0.30005,,,,,,
FS6,FW3,21,16,6,3.5,0.036,0.97177,0.09616,,,,,,
FS6,FWND1,21,29,9,6.3,0.066,0.95263,0.12413,,,,,,
FS6,FWND2,21,45,13,9.8,0.103,0.96502,0.09439,,,,,,
FS6,FWND3,21,38,8,8.3,0.087,0.54158,0.65567,,,,,,
FS6,FWND4,21,7,3,1.5,0.016,0.961,0.17462,,,,,,
FS6,FWND,21,6,2,1.3,0.014,0.8835,0.39183,,,,,,
FS6,T1,21,9,1,2,0.021,0.37013,0.90313,,,,,,
FS6,T2,21,49,14,10.7,0.112,0.97006,0.08422,,,,,,
FS6,T3,21,9,5,2,0.021,0.99691,0.02216,,,,,,
FS6,TND,21,11,3,2.4,0.025,0.80645,0.44799,,,,,,
FS6,C1,21,5,0,1.1,0.011,0.28237,1,,,,,,
FS6,C2,21,8,3,1.7,0.018,0.93357,0.23954,,,,,,
FS6,C3,21,5,3,1.1,0.011,0.99232,0.06806,,,,,,
FS6,CND,21,7,2,1.5,0.016,0.82538,0.47871,,,,,,
FS6,GS1,21,12,4,2.6,0.027,0.91421,0.24743,,,,,,
FS6,I2,21,14,7,3.1,0.032,0.99806,0.01159,,,,,,
FS6,I3,21,8,4,1.7,0.018,0.98843,0.06643,,,,,,
FS6,O1,21,22,5,4.8,0.05,0.66572,0.56067,,,,,,
FS6,G1,21,5,0,1.1,0.011,0.28237,1,,,,,,
FS6,G2,21,6,1,1.3,0.014,0.60817,0.78279,,,,,,
ND,SS1,9,11,1,1,0.011,0.72585,0.68244,,,,,,
ND,SS2,9,11,2,1,0.011,0.93524,0.27415,,,,,,
ND,FW1,9,50,5,4.7,0.049,0.71324,0.55344,,,,,,
ND,FW3,9,16,0,1.5,0.016,0.17886,1,,,,,,
ND,FWND1,9,29,2,2.7,0.028,0.45119,0.82114,,,,,,
ND,FWND2,9,45,4,4.2,0.044,0.5799,0.69005,,,,,,
ND,FWND3,9,38,5,3.6,0.037,0.9159,0.24836,,,,,,
ND,T2,9,49,5,4.6,0.048,0.73556,0.52677,,,,,,
ND,TND,9,11,3,1,0.011,0.99089,0.06476,,,,,,
ND,GS1,9,12,2,1.1,0.012,0.91799,0.31257,,,,,,
ND,I2,9,14,2,1.3,0.014,0.87771,0.38912,,,,,,
ND,O1,9,22,3,2.1,0.021,0.88164,0.3384,,,,,,
SS1,SS2,11,11,5,1.3,0.013,0.99982,0.00247,,,,,,
SS1,FW1,11,50,5,5.7,0.06,0.44058,0.78446,,,,,,
SS1,FW3,11,16,3,1.8,0.019,0.91716,0.26692,,,,,,
SS1,FWND1,11,29,5,3.3,0.035,0.93182,0.20257,,,,,,
SS1,FWND2,11,45,5,5.2,0.054,0.58878,0.66073,,,,,,
SS1,FWND3,11,38,2,4.4,0.045,0.10995,0.97493,,,,,,
SS1,T1,11,9,2,1,0.011,0.93524,0.27415,,,,,,
SS1,T2,11,49,3,5.6,0.058,0.08694,0.97875,,,,,,
SS1,T3,11,9,1,1,0.011,0.72585,0.68244,,,,,,
SS1,TND,11,11,1,1.3,0.013,0.63224,0.75807,,,,,,
SS1,GS1,11,12,1,1.4,0.014,0.58632,0.78938,,,,,,
SS1,I2,11,14,2,1.6,0.017,0.80079,0.50161,,,,,,
SS1,O1,11,22,2,2.5,0.026,0.51612,0.77339,,,,,,
SS2,FW1,11,50,6,5.7,0.06,0.68757,0.55942,,,,,,
SS2,FW3,11,16,1,1.8,0.019,0.41753,0.88119,,,,,,
SS2,FWND1,11,29,4,3.3,0.035,0.79743,0.43678,,,,,,
SS2,FWND2,11,45,6,5.2,0.054,0.80573,0.41122,,,,,,
SS2,FWND3,11,38,2,4.4,0.045,0.10995,0.97493,,,,,,
SS2,T1,11,9,2,1,0.011,0.93524,0.27415,,,,,,
SS2,T2,11,49,3,5.6,0.058,0.08694,0.97875,,,,,,
SS2,T3,11,9,2,1,0.011,0.93524,0.27415,,,,,,
SS2,TND,11,11,1,1.3,0.013,0.63224,0.75807,,,,,,
SS2,GS1,11,12,2,1.4,0.014,0.86183,0.41368,,,,,,
SS2,I2,11,14,3,1.6,0.017,0.9479,0.19921,,,,,,
SS2,O1,11,22,2,2.5,0.026,0.51612,0.77339,,,,,,
SS3,FW1,7,50,7,3.6,0.038,1,0.00838,,,,,,
SS3,FW3,7,16,3,1.2,0.012,0.98624,0.08807,,,,,,
SS3,FWND1,7,29,2,2.1,0.022,0.64474,0.68423,,,,,,
SS3,FWND2,7,45,2,3.3,0.034,0.27282,0.92229,,,,,,
SS3,FWND3,7,38,3,2.8,0.029,0.72481,0.57548,,,,,,
SS3,T2,7,49,6,3.6,0.037,0.99279,0.06235,,,,,,
SS3,I2,7,14,1,1,0.011,0.73025,0.68104,,,,,,
SS3,O1,7,22,1,1.6,0.017,0.49291,0.84902,,,,,,
FW1,FW2,50,5,4,2.6,0.027,0.96534,0.20798,,,,,,
FW1,FW3,50,16,9,8.3,0.087,0.73772,0.46478,,,,,,
FW1,FWND1,50,29,11,15.1,0.157,0.0542,0.98004,,,,,,
FW1,FWND2,50,45,26,23.4,0.244,0.89516,0.19932,,,,,,
FW1,FWND3,50,38,26,19.8,0.206,0.99766,0.00821,,,,,,
FW1,FWND4,50,7,2,3.6,0.038,0.18466,0.95622,,,,,,
FW1,FWND,50,6,4,3.1,0.033,0.87773,0.37939,,,,,,
FW1,T1,50,9,4,4.7,0.049,0.44656,0.79692,,,,,,
FW1,T2,50,49,39,25.5,0.266,1,0,,,,,,
FW1,T3,50,9,4,4.7,0.049,0.44656,0.79692,,,,,,
FW1,TND.1,50,3,2,1.6,0.016,0.86282,0.53156,,,,,,
FW1,TND2,50,3,3,1.6,0.016,1,0.13718,,,,,,
FW1,TND4,50,2,1,1,0.011,0.73136,0.77303,,,,,,
FW1,TND,50,11,8,5.7,0.06,0.96481,0.1276,,,,,,
FW1,C1,50,5,1,2.6,0.027,0.15591,0.97757,,,,,,
FW1,C2,50,8,3,4.2,0.043,0.3113,0.89132,,,,,,
FW1,C3,50,5,1,2.6,0.027,0.15591,0.97757,,,,,,
FW1,CND,50,7,3,3.6,0.038,0.45301,0.81534,,,,,,
FW1,GS1,50,12,5,6.2,0.065,0.32144,0.86011,,,,,,
FW1,GS2,50,2,0,1,0.011,0.22697,1,,,,,,
FW1,I1,50,4,3,2.1,0.022,0.93067,0.34073,,,,,,
FW1,I2,50,14,10,7.3,0.076,0.97033,0.09972,,,,,,
FW1,I3,50,8,6,4.2,0.043,0.9613,0.16273,,,,,,
FW1,I4,50,4,3,2.1,0.022,0.93067,0.34073,,,,,,
FW1,O1,50,22,11,11.5,0.119,0.50731,0.67952,,,,,,
FW1,O2,50,4,1,2.1,0.022,0.2776,0.95088,,,,,,
FW1,G1,50,5,2,2.6,0.027,0.46014,0.84409,,,,,,
FW1,G2,50,6,1,3.1,0.033,0.08404,0.9899,,,,,,
FW1,G3,50,3,0,1.6,0.016,0.10624,1,,,,,,
FW1,G4,50,2,1,1,0.011,0.73136,0.77303,,,,,,
FW1,G5,50,2,1,1,0.011,0.73136,0.77303,,,,,,
FW2,FWND1,5,29,1,1.5,0.016,0.52165,0.842,,,,,,
FW2,FWND2,5,45,2,2.3,0.024,0.5597,0.77759,,,,,,
FW2,FWND3,5,38,3,2,0.021,0.92175,0.30639,,,,,,
FW2,T2,5,49,4,2.6,0.027,0.9688,0.19411,,,,,,
FW2,O1,5,22,3,1.1,0.012,0.99071,0.07734,,,,,,
FW3,FWND1,16,29,5,4.8,0.05,0.66234,0.5681,,,,,,
FW3,FWND2,16,45,8,7.5,0.078,0.70882,0.49843,,,,,,
FW3,FWND3,16,38,5,6.3,0.066,0.32477,0.84781,,,,,,
FW3,FWND4,16,7,3,1.2,0.012,0.98624,0.08807,,,,,,
FW3,FWND,16,6,2,1,0.01,0.94378,0.26094,,,,,,
FW3,T1,16,9,1,1.5,0.016,0.53658,0.82114,,,,,,
FW3,T2,16,49,10,8.2,0.085,0.90002,0.23323,,,,,,
FW3,T3,16,9,3,1.5,0.016,0.96039,0.1694,,,,,,
FW3,TND,16,11,1,1.8,0.019,0.41753,0.88119,,,,,,
FW3,C2,16,8,3,1.3,0.014,0.97539,0.12614,,,,,,
FW3,CND,16,7,4,1.2,0.012,0.99879,0.01376,,,,,,
FW3,GS1,16,12,4,2,0.021,0.97346,0.111,,,,,,
FW3,I2,16,14,4,2.3,0.024,0.94628,0.17895,,,,,,
FW3,I3,16,8,4,1.3,0.014,0.9971,0.02461,,,,,,
FW3,O1,16,22,0,3.7,0.038,0.01016,1,,,,,,
FW3,G2,16,6,2,1,0.01,0.94378,0.26094,,,,,,
FWND1,FWND2,29,45,13,13.6,0.142,0.48412,0.6862,,,,,,
FWND1,FWND3,29,38,11,11.5,0.12,0.50631,0.66976,,,,,,
FWND1,FWND4,29,7,3,2.1,0.022,0.87971,0.35526,,,,,,
FWND1,FWND,29,6,2,1.8,0.019,0.74544,0.59024,,,,,,
FWND1,T1,29,9,2,2.7,0.028,0.45119,0.82114,,,,,,
FWND1,T2,29,49,17,14.8,0.154,0.88504,0.22539,,,,,,
FWND1,T3,29,9,6,2.7,0.028,0.99711,0.02044,,,,,,
FWND1,TND,29,11,5,3.3,0.035,0.93182,0.20257,,,,,,
FWND1,C1,29,5,2,1.5,0.016,0.83985,0.47835,,,,,,
FWND1,C2,29,8,4,2.4,0.025,0.94836,0.18893,,,,,,
FWND1,C3,29,5,2,1.5,0.016,0.83985,0.47835,,,,,,
FWND1,CND,29,7,3,2.1,0.022,0.87971,0.35526,,,,,,
FWND1,GS1,29,12,7,3.6,0.038,0.99389,0.03024,,,,,,
FWND1,I1,29,4,0,1.2,0.013,0.23073,1,,,,,,
FWND1,I2,29,14,5,4.2,0.044,0.79115,0.42105,,,,,,
FWND1,I3,29,8,2,2.4,0.025,0.54494,0.76062,,,,,,
FWND1,I4,29,4,2,1.2,0.013,0.91915,0.35107,,,,,,
FWND1,O1,29,22,6,6.6,0.069,0.47707,0.72308,,,,,,
FWND1,O2,29,4,3,1.2,0.013,0.99285,0.08085,,,,,,
FWND1,G1,29,5,2,1.5,0.016,0.83985,0.47835,,,,,,
FWND1,G2,29,6,3,1.8,0.019,0.93426,0.25456,,,,,,
FWND2,FWND3,45,38,16,17.8,0.186,0.29191,0.83321,,,,,,
FWND2,FWND4,45,7,3,3.3,0.034,0.57033,0.72718,,,,,,
FWND2,FWND,45,6,2,2.8,0.029,0.40032,0.86655,,,,,,
FWND2,T1,45,9,7,4.2,0.044,0.99084,0.05379,,,,,,
FWND2,T2,45,49,25,23,0.239,0.84981,0.26564,,,,,,
FWND2,T3,45,9,6,4.2,0.044,0.94621,0.18461,,,,,,
FWND2,TND.1,45,3,2,1.4,0.015,0.90069,0.45269,,,,,,
FWND2,TND2,45,3,2,1.4,0.015,0.90069,0.45269,,,,,,
FWND2,TND,45,11,7,5.2,0.054,0.93433,0.19427,,,,,,
FWND2,C1,45,5,2,2.3,0.024,0.5597,0.77759,,,,,,
FWND2,C2,45,8,3,3.8,0.039,0.42993,0.82145,,,,,,
FWND2,C3,45,5,2,2.3,0.024,0.5597,0.77759,,,,,,
FWND2,CND,45,7,2,3.3,0.034,0.27282,0.92229,,,,,,
FWND2,GS1,45,12,6,5.6,0.059,0.70619,0.52864,,,,,,
FWND2,I1,45,4,3,1.9,0.02,0.95515,0.2627,,,,,,
FWND2,I2,45,14,8,6.6,0.068,0.86917,0.29306,,,,,,
FWND2,I3,45,8,5,3.8,0.039,0.9026,0.28927,,,,,,
FWND2,I4,45,4,2,1.9,0.02,0.7373,0.64267,,,,,,
FWND2,O1,45,22,13,10.3,0.107,0.93967,0.1436,,,,,,
FWND2,O2,45,4,2,1.9,0.02,0.7373,0.64267,,,,,,
FWND2,G1,45,5,1,2.3,0.024,0.22241,0.96157,,,,,,
FWND2,G2,45,6,2,2.8,0.029,0.40032,0.86655,,,,,,
FWND2,G3,45,3,1,1.4,0.015,0.54731,0.85425,,,,,,
FWND3,FWND4,38,7,1,2.8,0.029,0.15427,0.97477,,,,,,
FWND3,FWND,38,6,4,2.4,0.025,0.96562,0.166,,,,,,
FWND3,T1,38,9,3,3.6,0.037,0.49078,0.77258,,,,,,
FWND3,T2,38,49,26,19.4,0.202,0.99862,0.00516,,,,,,
FWND3,T3,38,9,6,3.6,0.037,0.9816,0.0841,,,,,,
FWND3,TND.1,38,3,1,1.2,0.012,0.65559,0.78404,,,,,,
FWND3,TND2,38,3,2,1.2,0.012,0.94096,0.34441,,,,,,
FWND3,TND,38,11,9,4.4,0.045,0.99968,0.00338,,,,,,
FWND3,C1,38,5,3,2,0.021,0.92175,0.30639,,,,,,
FWND3,C2,38,8,4,3.2,0.033,0.8429,0.39328,,,,,,
FWND3,C3,38,5,1,2,0.021,0.33873,0.92504,,,,,,
FWND3,CND,38,7,2,2.8,0.029,0.42452,0.84573,,,,,,
FWND3,GS1,38,12,7,4.8,0.049,0.95737,0.13521,,,,,,
FWND3,I1,38,4,3,1.6,0.016,0.97778,0.16951,,,,,,
FWND3,I2,38,14,3,5.5,0.058,0.1119,0.96837,,,,,,
FWND3,I3,38,8,4,3.2,0.033,0.8429,0.39328,,,,,,
FWND3,I4,38,4,1,1.6,0.016,0.48068,0.87228,,,,,,
FWND3,O1,38,22,9,8.7,0.091,0.65554,0.53732,,,,,,
FWND3,O2,38,4,2,1.6,0.016,0.83049,0.51932,,,,,,
FWND3,G1,38,5,4,2,0.021,0.99179,0.07825,,,,,,
FWND3,G2,38,6,2,2.4,0.025,0.55322,0.76852,,,,,,
FWND3,G3,38,3,1,1.2,0.012,0.65559,0.78404,,,,,,
FWND4,T2,7,49,4,3.6,0.037,0.76471,0.52353,,,,,,
FWND4,I2,7,14,2,1,0.011,0.93857,0.26975,,,,,,
FWND4,O1,7,22,2,1.6,0.017,0.80511,0.50709,,,,,,
FWND,T2,6,49,4,3.1,0.032,0.88824,0.35882,,,,,,
