sp1_name,sp2_name,sp1_inc,sp2_inc,obs_cooccur,exp_cooccur,prob_cooccur,p_lt,p_gt,,,,,,
TS1.1,FWND3,39,38,18,15.4,0.161,0.90327,0.19029,,,,,,
TS1.1,FWND4,39,7,4,2.8,0.03,0.90601,0.2959,,,,,,
TS1.1,FWND,39,6,2,2.4,0.025,0.53103,0.78471,,,,,,
TS1.1,T1,39,9,1,3.7,0.038,0.05664,0.99306,,,,,,
TS1.1,T2,39,49,24,19.9,0.207,0.97228,0.06732,,,,,,
TS1.1,T3,39,9,3,3.7,0.038,0.46353,0.79225,,,,,,
TS1.1,TND.1,39,3,2,1.2,0.013,0.93604,0.35957,,,,,,
TS1.1,TND2,39,3,1,1.2,0.013,0.64043,0.79521,,,,,,
TS1.1,TND,39,11,5,4.5,0.047,0.75152,0.48539,,,,,,
TS1.1,C1,39,5,1,2,0.021,0.32054,0.9315,,,,,,
TS1.1,C2,39,8,5,3.2,0.034,0.95366,0.17339,,,,,,
TS1.1,C3,39,5,3,2,0.021,0.91388,0.32475,,,,,,
TS1.1,CND,39,7,5,2.8,0.03,0.98311,0.09399,,,,,,
TS1.1,GS1,39,12,6,4.9,0.051,0.84629,0.34324,,,,,,
TS1.1,I1,39,4,3,1.6,0.017,0.97524,0.18157,,,,,,
TS1.1,I2,39,14,6,5.7,0.059,0.68686,0.53843,,,,,,
TS1.1,I3,39,8,2,3.2,0.034,0.29301,0.90978,,,,,,
TS1.1,I4,39,4,1,1.6,0.017,0.46242,0.88109,,,,,,
TS1.1,O1,39,22,9,8.9,0.093,0.61231,0.58221,,,,,,
TS1.1,O2,39,4,2,1.6,0.017,0.81843,0.53758,,,,,,
TS1.1,G1,39,5,3,2,0.021,0.91388,0.32475,,,,,,
TS1.1,G2,39,6,0,2.4,0.025,0.03914,1,,,,,,
TS1.1,G3,39,3,2,1.2,0.013,0.93604,0.35957,,,,,,
TS1.2,TS2,15,32,6,5,0.052,0.81563,0.37515,,,,,,
TS1.2,TS3,15,15,3,2.3,0.024,0.81862,0.42737,,,,,,
TS1.2,FS1,15,29,4,4.5,0.047,0.50391,0.72941,,,,,,
TS1.2,FS1.1,15,15,5,2.3,0.024,0.98825,0.05487,,,,,,
TS1.2,FS1.2,15,18,2,2.8,0.029,0.43214,0.82575,,,,,,
TS1.2,FS2,15,27,6,4.2,0.044,0.91982,0.20842,,,,,,
TS1.2,FS2.1,15,30,6,4.7,0.049,0.86345,0.30456,,,,,,
TS1.2,FS3,15,25,4,3.9,0.041,0.65896,0.58865,,,,,,
TS1.2,FS4,15,10,3,1.6,0.016,0.95312,0.18714,,,,,,
TS1.2,FS5,15,35,7,5.5,0.057,0.88127,0.2701,,,,,,
TS1.2,FS5.1,15,21,5,3.3,0.034,0.92931,0.19963,,,,,,
