,TS,TS1.1,TS1.2,TS2,TS3,FS1,FS1.1,FS1.2,FS1.3,FS1.4,FS2,FS2.1,FS3,FS4,FS5,FS5.1,FS5.2,FS6,ND,SS1,SS2,SS3,FW1,FW2,FW3,FWND1,FWND2,FWND3,FWND4,FWND,T1,T2,T3,TND.1,TND2,TND4,TND,C1,C2,C3,CND,GS1,GS2,I1,I2,I3,I4,O1,O2,G1,G2,G3,G4,G5,V55,V56,V57,V58,V59,V60
T1,58,54,54,59,55,48,56,52,50,59,57,56,56,57,60,58,50,52,59,52,55,50,54,54,54,59,58,52,52,48,0,55,60,53,58,59,55,49,56,57,56,48,58,57,57,58,62,49,52,58,65,58,54,57,53,56,58,58,57,58
T2,62,50,55,58,55,54,58,51,47,56,56,54,52,59,60,56,48,55,59,52,56,50,49,57,55,60,58,52,58,55,55,0,60,54,55,57,53,49,52,55,57,52,56,63,60,58,62,48,51,57,64,62,56,58,54,51,58,65,58,59
T3,61,54,53,61,55,54,58,56,48,59,56,56,52,61,63,58,53,57,61,56,56,46,52,58,57,60,62,55,60,53,60,60,0,55,57,61,57,51,58,59,55,55,58,63,58,60,62,49,53,58,68,59,59,61,57,53,59,65,58,60
TND.1,54,51,48,55,52,48,52,49,48,55,52,53,45,56,57,52,53,51,55,52,52,45,46,54,52,53,55,53,51,48,53,54,55,0,52,57,54,48,52,55,52,51,55,57,53,55,58,43,49,54,60,60,51,56,50,49,51,57,54,55
TND2,57,53,52,55,51,49,54,52,47,54,56,53,52,57,55,56,51,50,57,48,57,45,50,54,57,57,59,53,51,48,58,55,57,52,0,59,53,47,54,53,55,51,56,56,57,56,59,48,47,55,62,57,53,57,52,52,59,60,54,56
TND4,62,56,54,58,58,53,58,58,49,58,57,59,58,57,61,56,52,56,61,55,62,51,53,61,60,59,64,55,54,50,59,57,61,57,59,0,56,53,58,58,59,55,58,61,58,58,63,48,52,58,65,60,56,60,56,57,59,65,59,61
TND,57,52,56,57,54,53,58,55,45,56,57,54,51,54,62,59,52,52,60,52,54,45,51,55,59,57,59,54,55,49,55,53,57,54,53,56,0,44,57,58,54,53,57,56,57,54,60,46,51,62,62,61,54,56,53,49,57,61,56,53
C1,55,53,52,53,49,47,53,45,41,51,52,51,49,53,51,51,43,49,54,48,49,47,46,53,49,50,54,47,46,45,49,49,51,48,47,53,44,0,51,48,49,43,52,52,53,53,56,42,45,50,60,55,48,54,50,47,50,54,51,57
C2,55,53,54,57,52,48,54,54,44,55,55,53,54,55,61,55,51,56,59,56,57,46,48,53,53,53,58,51,53,50,56,52,58,52,54,58,57,51,0,53,55,51,56,55,55,54,61,46,47,55,64,57,52,55,52,52,55,63,57,58
C3,58,55,51,56,56,52,57,53,46,57,57,53,50,55,59,57,51,53,60,57,53,46,49,56,58,58,57,56,57,48,57,55,59,55,53,58,58,48,53,0,53,50,58,58,56,55,61,49,49,61,64,59,55,59,50,52,55,57,57,53
CND,60,51,52,54,52,49,55,51,41,54,50,53,54,56,62,59,50,53,56,52,58,48,50,52,53,57,56,54,53,50,56,57,55,52,55,59,54,49,55,53,0,49,56,55,56,53,61,45,49,59,61,57,51,58,50,52,63,60,55,59
GS1,52,48,50,49,49,50,49,48,41,48,48,48,47,52,53,52,47,55,51,47,52,40,43,51,54,52,53,50,49,46,48,52,55,51,51,55,53,43,51,50,49,0,53,53,50,52,55,46,46,51,54,53,49,49,48,47,51,58,49,53
GS2,61,56,53,59,57,51,56,56,49,59,56,56,56,56,63,60,55,58,64,54,59,48,53,58,58,57,64,57,57,52,58,56,58,55,56,58,57,52,56,58,56,53,0,59,58,55,62,52,54,59,64,57,53,61,54,55,59,62,58,56
I1,61,56,54,59,55,55,58,54,48,61,59,55,55,62,61,57,50,57,63,53,56,49,52,59,59,59,60,54,58,54,57,63,63,57,56,61,56,52,55,58,55,53,59,0,59,58,61,49,52,61,64,60,61,60,58,53,57,64,58,60
I2,64,54,57,58,54,54,59,57,47,54,59,55,51,60,60,56,53,54,60,55,57,50,52,57,59,61,64,55,58,53,57,60,58,53,57,58,57,53,55,56,56,50,58,59,0,60,62,51,53,59,67,60,56,59,54,55,56,63,57,58
I3,61,56,53,59,53,53,60,52,48,54,58,58,51,57,60,61,51,54,62,57,56,48,48,59,58,56,59,55,54,51,58,58,60,55,56,58,54,53,54,55,53,52,55,58,60,0,64,49,49,58,63,59,58,57,53,51,56,62,58,57
I4,65,59,59,63,57,51,62,59,50,60,61,59,57,59,68,63,56,59,68,60,61,52,53,62,61,62,64,61,58,55,62,62,62,58,59,63,60,56,61,61,61,55,62,61,62,64,0,50,55,64,71,66,61,64,57,59,64,68,63,61
O1,53,48,48,51,48,44,52,50,42,48,48,42,47,49,51,50,46,47,53,42,47,41,42,49,49,52,51,48,45,46,49,48,49,43,48,48,46,42,46,49,45,46,52,49,51,49,50,0,45,48,53,47,46,50,47,47,48,54,48,48
O2,52,48,47,52,49,43,53,52,41,50,50,48,49,50,54,50,45,47,54,45,48,46,44,51,49,55,54,53,51,50,52,51,53,49,47,52,51,45,47,49,49,46,54,52,53,49,55,45,0,49,58,52,48,53,49,47,50,56,49,50
G1,61,54,57,58,55,51,59,53,46,60,57,57,55,54,65,64,53,56,61,57,57,45,52,57,59,59,62,57,57,49,58,57,58,54,55,58,62,50,55,61,59,51,59,61,59,58,64,48,49,0,63,60,58,58,56,53,59,63,57,58
G2,65,63,61,66,63,56,66,62,50,63,64,61,59,63,67,64,57,59,65,62,62,56,58,61,61,67,68,61,62,59,65,64,68,60,62,65,62,60,64,64,61,54,64,64,67,63,71,53,58,63,0,69,62,66,60,60,64,69,62,65
G3,60,57,59,62,57,53,59,54,55,58,59,56,54,58,62,57,56,56,63,54,57,51,56,58,56,62,60,55,57,54,58,62,59,60,57,60,61,55,57,59,57,53,57,60,60,59,66,47,52,60,69,0,58,61,56,54,60,64,61,60
G4,58,51,53,54,52,52,56,51,48,55,56,52,49,52,57,56,48,53,59,54,53,41,49,53,56,58,56,50,53,49,54,56,59,51,53,56,54,48,52,55,51,49,53,61,56,58,61,46,48,58,62,58,0,56,52,48,56,59,56,55
G5,62,57,55,57,51,55,58,55,48,58,58,53,53,59,61,59,52,52,66,55,56,48,49,58,60,59,63,56,56,51,57,58,61,56,57,60,56,54,55,59,58,49,61,60,59,57,64,50,53,58,66,61,56,0,55,55,59,62,57,58
55,57,48,52,56,51,49,55,50,47,56,50,55,52,55,58,51,48,50,56,47,54,46,44,56,54,58,62,51,51,48,53,54,57,50,52,56,53,50,52,50,50,48,54,58,54,53,57,47,49,56,60,56,52,55,0,53,52,61,52,56
56,52,52,51,52,51,47,55,49,44,54,50,50,50,52,58,52,48,48,55,47,56,44,45,53,52,55,60,52,47,43,56,51,53,49,52,57,49,47,52,52,52,47,55,53,55,51,59,47,47,53,60,54,48,55,53,0,53,57,56,53
57,59,55,57,59,55,51,58,54,46,57,53,55,50,55,63,61,51,52,63,55,58,48,53,52,56,56,60,54,53,52,58,58,59,51,59,59,57,50,55,55,63,51,59,57,56,56,64,48,50,59,64,60,56,59,52,53,0,62,57,57
58,64,60,61,65,58,55,61,60,50,61,60,60,58,59,65,60,57,63,65,57,61,54,50,62,59,63,68,59,61,54,58,65,65,57,60,65,61,54,63,57,60,58,62,64,63,62,68,54,56,63,69,64,59,62,61,57,62,0,63,62
59,58,57,58,59,56,52,60,55,46,57,53,56,52,56,64,56,50,53,61,53,55,50,47,58,58,58,60,53,53,47,57,58,58,54,54,59,56,51,57,57,55,49,58,58,57,58,63,48,49,57,62,61,56,57,52,56,57,63,0,56
60,60,56,54,58,55,55,61,55,49,56,56,57,55,59,58,58,52,55,58,52,58,47,54,57,57,58,60,52,54,51,58,59,60,55,56,61,53,57,58,53,59,53,56,60,58,57,61,48,50,58,65,60,55,58,56,53,57,62,56,0
