Site,TS1,TS1.1,TS1.2,TS2,TS3,FS1,FS1.1,FS1.2,FS1.3,FS1.4,FS1.5,FS1.6,FS2,FS2.1,FS3,FS4,FS5,FS5.1,FS5.2,FS6,ND,SS1,SS2,SS3,FW1,FW2,FW3,FW4,FWND1,FWND2,FWND3,FWND4,FWND,T1,T2,T3,T4,TND 1,TND2,TND3,TND4,TND,C1,C2,C3,CND,GS1,GS2,I1,I2,I3,I4,O1,O2,G1,G2,G3,G4,G5,G6
PM43,1326,4390,2085,,,,,,,,,,,1532,,,,1090,,,,,,,2231,,,,,,680,,,,35,,,,,,,,,,,,,,,,,,,,,,,,,
PM44,3703,2690,,,,,,,,,,,,,,,4738,390,,,,,,,1853,,,,,684,,,,,483,,,,,,,,,,,,,,,57,,,,,,,,,,
PM45,11889,9770,1440,,220,2870,,12430,,,,,230,,633,119,890,,,,757,230,,200,18480,,,,,,4250,,,,1414,,,,,,,80,,,,,,,,,,,,,,,,,,
PM46,13880,,,,,,,,,,,,1150,,,,,,,,,,,,3880,,,,,,2160,,,,81,,,,,,,,,,,,,,,,,,,,,19,,,,
PM47,7807,1140,,,,,,,,,,,429,,,,,2060,,,,,,,,,2010,,,340,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM48,2814,640,,,,4239,,,,,,,,,,,5296,,,,,,,20,3323,,779,,,,,552,,,2930,,,,,,,,,,,,,,,,392,,,,,,,,,
PM49,1950,,,,,,,,,,,,,,,,,,,,,982,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM50,7921,,,,,,,4650,,,,,270,,,,1039,,,,,,,,,,,,,430,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM51,1530,940,,,,,,,,,,,,,,,4930,,,,,,,,1790,,2429,,,,,,,,187,,,,,,,,,,,,,,,,,,,,,,,,,
PM52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM53,210,3141,,,,11814,1010,,,,,,23,1140,760,516,,,110,,,,,,,,,,120,,522,,,,197,531,,,,,,,,550,,,37,,,,,,,920,,,,,,
PM54,1490,,,576,,10550,870,4120,,1670,,,,1024,,,5140,1240,,190,,,,50,4071,,2040,,3070,350,4430,,,,282,650,,,,,,40,,,,,1350,,,,,,,,,,,,,
PM55,,,,3575,,8750,,,3650,,,,,210,,,,,,,,,,20,1610,,,,2355,,963,,,,13990,840,,,,,,40,,,,,,,,,,,,,,,,,,
PM56,,,,,,,,,,,,,,,,,,,,,,,,,1232,651,,,,,,,,,1459,,,,,,,,,,,,,,,,,,64,,,,,,,
PM57,840,961,,12997,710,,3130,1670,,1350,,,388,780,1400,,6157,3010,1896,,,,110,,2220,5776,,,,875,30,,,2846,4786,,,,,,,,,2132,,,856,,,,,,179,,,,,,2300,
PM58,1174,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13,,1630,,,,,,
PM59,101,,,1933,,,,1370,,,,,,1272,,,1420,,,,1801,,,,345,,,,,3350,1975,,,32,102,,,,,,210,,15923,,,,557,,,,,,,,,,,,,
PM60,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM61,,,,3730,,,,,,,,,,,,,,,,,,193,,,,,,,,,240,,,238,,,,,,,,,3914,,,,,54,,,,,,,,,,,,
PM62,,,,,1140,10640,,,,,,,890,,,,560,,,1560,,,,,2356,,,,534,179,,,,2243,633,,,,,,,,,,,,,,,,61,,,,,,,,,
PM63,2024,610,,,,5269,,,,,,,,,,40,,,70,,,,,,,,,,,,,,,,4989,,,,,,,,,,,,,,,,,,,,,,,,,
PM64,40,,,490,,,,4010,,,,,100,707,,,,,,,,,,,,,,,226,566,,,,,,3521,,,,,,,5354,,,,1611,151,,,,,,,,,,,,
PM65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29,,,,23,,,,,,,,,,,,,
PM66,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2743,,,,285,,,,,,,,,,,,,
PM67,350,,,,,3120,,2920,,,,,234,,,,,,,,,,,,370,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM68,790,850,,,,,,,,,,,,,,,,,,,,,,,,,,,,60,100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM71,2797,,1339,,,,,,,,,,50,,,,,,,,,,,,380,,,,,,2760,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PM72,2190,,,,,,,4130,,,,,901,,,,,,,,,,,,8437,,,,,,,,,,193,,,,,,,,,,,,,,,,,,113,,,,,,,
PM73,3379,,1070,2477,2245,,5330,4551,,,,,558,,2823,1480,4327,6365,,335,120,,1185,28,3355,,,,,6096,,286,,,435,,689,,,,,,,,952,,,,,489,765,6,,1107,,,,,,
PM74,,,,,,,,5550,,,,,,,1446,,849,,,,,870,175,,,,,,,725,,,,,,1334,,,,,,,,,4757,,,,,,,,,,,,1400,,,
PM75,13906,,,,510,,,,,,,,,,,,,,545,,320,,,,646,,,,,,2150,,,,1964,,,,,,,,,,,,,,,,,,,,,,,,,
