slno,tofro,via,date,total,type
AI0006762,DEL y BLR,,20-May-13,9748,Air
AI0006991,BLR y DEL,,20-May-13,12030,Air
AI0006995,DEL y BLR,,23-May-13,9704,Air
AI0006997,BLR y DEL,,20-May-13,9747,Air
AI0006997,DEL y BLR,,20-May-13,9748,Air
AI0007000,BLR y DEL,,20-May-13,9747,Air
AI0007000,DEL y BLR,,20-May-13,9748,Air
AI0007006,BOM y BLR,,16-May-13,6993,Air
AI0007092,BOM Y BLR,,22-May-13,7201,Air
AI0007092,BLR Y BOM,,19-May-13,6973,Air
AI0007116,BOM y DEL,,19-May-13,9128,Air
AI0007116,DEL y BOM,,19-May-13,9129,Air
AI0007412,BLR Y BOM,,24-May-13,7671,Air
AI0007413,GOI Y BLR,,02-Jun-13,4180,Air
AI0007497,DEL u BOM,,20-May-13,9375,Air
AI0007507,DEL k BLR,,20-May-13,11154,Air
AI0007615,BLR h BOM,,24-May-13,7696,Air
AI0007616,BLR h BOM,,24-May-13,7696,Air
AI0007617,BOM h BLR,,24-May-13,8423,Air
AI0007618,BOM h BLR,,24-May-13,8423,Air
AI0007970,BLR y BOM,,28-May-13,6879,Air
AI0007970,BOM y BLR,,28-May-13,6879,Air
AI0007875,BLR Y BOM,,27-May-13,7671,Air
AI0007875,BOM Y BLR,,27-May-13,8303,Air
AI0008057,BLR Y BOM,,24-May-13,7671,Air
AI0008258,BLR Y HYD,,28-May-13,5099,Air
AI0008258,HYD Y BLR,,28-May-13,5100,Air
AI0008355,BOM Y BLR,,27-May-13,7193,Air
AI0008682,BOM h BLR,,31-May-13,7163,Air
AI0008683,BLR h BOM,,01-Jun-13,7671,Air
AI0008776,BOM Y BLR,,29-May-13,7755,Air
AI0008918,BLR Y BOM,,01-Jun-13,7284,Air
AI0008918,BOM Y BLR,,01-Jun-13,7284,Air
AI0008979,BOM Y BLR,,07-Jun-13,6130,Air
AI0008979,BLR Y BOM,,08-Jun-13,7038,Air
AI0009026,BOM Y BLR,,07-Jun-13,7121,Air
AI0009026,BLR Y BOM,,08-Jun-13,5960,Air
AI0009201,BLR Y BOM,,03-Jun-13,7672,Air
AI0009201,BOM Y BLR,,04-Jun-13,7201,Air
AI0009203,BLR Y BOM,,03-Jun-13,7672,Air
AI0009204,BLR Y BOM,,03-Jun-13,7672,Air
AI0009225,BLR Y BOM,,03-Jun-13,7672,Air
AI0009387,BOM y BLR,,04-Jun-13,6948,Air
AI0009388,BOM y BLR,,03-Jun-13,6948,Air
AI0009389,BOM y BLR,,04-Jun-13,6948,Air
AI0009429,BOM y BLR,,04-Jun-13,6948,Air
AI0009429,BOM y BLR,,04-Jun-13,6948,Air
AI0009429,BOM y BLR,,04-Jun-13,6948,Air
AI0009452,BOM Y BLR,,03-Jun-13,7111,Air
AI0009892,BLR Y BOM,,06-Jun-13,7045,Air
AI0009892,BOM Y BLR,,06-Jun-13,7045,Air
AI0009898,BLR Y BOM,,06-Jun-13,7045,Air
AI0009898,BOM Y BLR,,06-Jun-13,7045,Air
RA0000065,BLR Y MAA,,05-Jun-13,624,Rail
RA0000065,MAA Y BLR,,07-Jun-13,1505,Rail
AI0010084,BLR Y BOM,,10-Jun-13,7513,Air
AI0010084,BOM Y BLR,,11-Jun-13,7111,Air
AI0010086,BOM Y BLR,,10-Jun-13,7201,Air
AI0010086,BLR Y BOM,,10-Jun-13,7513,Air
AI0010575,BLR Y BOM,,11-Jun-13,7672,Air
AI0010575,BOM Y BLR,,11-Jun-13,7755,Air
AI0010576,BLR Y BOM,,11-Jun-13,7672,Air
AI0010613,BOM y BLR,,16-Jun-13,6948,Air
AI0011025,BLR Y BOM,,15-Jun-13,7056,Air
AI0011025,BOM Y BLR,,15-Jun-13,7755,Air
AI0011152,BOM Y BLR,,15-Jun-13,7117,Air
AI0011167,BLR Y BOM,,17-Jun-13,7672,Air
AI0011177,BOM y BLR,,17-Jun-13,6948,Air
AI0011694,BLR Y MAA,,15-Jun-13,4907,Air
AI0011327,MAA Y BLR,,15-Jun-13,4800,Air
AI0011352,BOM y BLR,,17-Jun-13,6948,Air
AI0011453,BLR l BOM,,17-Jun-13,11049,Air
AI0011854,BLR h BOM,,19-Jun-13,7671,Air
AI0012059,HYD Y BLR,,23-Jun-13,5206,Air
AI0012139,BLR Y BOM,,22-Jun-13,7672,Air
AI0012139,BOM Y BLR,,22-Jun-13,7117,Air
AI0012240,BLR h BOM,,24-Jun-13,7671,Air
AI0012241,BOM h BLR,,25-Jun-13,7163,Air
AI0012294,BLR u JDH,BOM,22-Jun-13,9691,Air
AI0012295,BLR u JDH,BOM,22-Jun-13,9816,Air
AI0012484,BLR Y BOM,,24-Jun-13,7028,Air
AI0012484,BOM Y BLR,,24-Jun-13,7202,Air
AI0012644,BLR Y BOM,,26-Jun-13,7028,Air
AI0012653,BOM y BLR,,30-Jun-13,6937,Air
AI0012792,BLR Y DEL,,28-Jun-13,10047,Air
AI0012792,DEL Y BLR,,28-Jun-13,11021,Air
AI0012978,BLR Y HYD,,28-Jun-13,4954,Air
AI0013059,BLR Y BOM,,28-Jun-13,5923,Air
AI0013302,DEL y BLR,,03-Jul-13,9694,Air
AI0013059,BOM Y BLR,,28-Jun-13,5923,Air
AI0013335,BOM Y BLR,,02-Jul-13,5861,Air
AI0013335,BLR Y BOM,,02-Jul-13,5861,Air
AI0013394,BOM Y BLR,,01-Jul-13,4430,Air
AI0013574,BOM Y BLR,,01-07-2013,4049,Air
AI0013623,ICN y PVG,,01-07-2013,16500,Air
AI0013630,YUL m ICN,PVG,01-07-2013,111103,Air
AI0013630,ICN m YYZ,PVG,01-07-2013,111104,Air
AI0013630,YYZ m YUL,,01-07-2013,0,Fill up
AI0014114,BLR Y BOM,,04-07-2013,3872,Air
AI0014114,BOM Y BLR,,04-07-2013,3320,Air
AI0014117,BLR Y BOM,,04-07-2013,3872,Air
AI0014117,BOM Y BLR,,04-07-2013,3320,Air
AI0014353,BLR y DEL,,04-07-2013,9781,Air
AI0014355,DEL y BLR,,04-07-2013,9737,Air
AI0014355,BLR y DEL,,04-07-2013,9737,Air
AI0014298,ICN y PVG,,05-07-2013,4810,Air
AI0014507,BOM Y BLR,,08-07-2013,3317,Air
AI0014572,BLR v BOM,,08-07-2013,5993,Air
AI0014573,BLR v BOM,,08-07-2013,5993,Air
AI0014591,BOM Y BLR,,08-07-2013,6130,Air
AI0014699,DEL y BLR,,08-07-2013,9694,Air
AI0014740,BLR Y BOM,,09-07-2013,3872,Air
AI0014879,BLR Y BOM,,10-07-2013,3243,Air
AI0014879,BOM Y BLR,,10-07-2013,3244,Air
AI0014885,BOM Y BLR,,10-07-2013,3316,Air
AI0014902,BLR y BOM,,10-07-2013,6801,Air
AI0015024,BLR Y BOM,,10-07-2013,3171,Air
AI0015024,BLR Y BOM,,10-07-2013,3171,Air
AI0015081,BOM y BLR,,10-07-2013,6937,Air
AI0015081,BOM y BLR,,10-07-2013,6937,Air
AI0015117,BOM n BLR,,11-07-2013,8401,Air
AI0015179,BLR u BOM,,11-07-2013,5598,Air
AI0015354,BLR Y BOM,,12-07-2013,3176,Air
AI0015354,BOM Y BLR,,12-07-2013,3143,Air
AI0015355,BLR y DEL,,12-07-2013,7187,Air
AI0015847,DEL Y BLR,,25-Jul-13,6936,Air
AI0015847,DEL Y BLR,,25-Jul-13,6936,Air
AI0015913,BLR Y BOM,,18-Jul-13,4081,Air
AI0015978,BLR Y BOM,,24-Jul-13,4081,Air
AI0015982,BOM Y DEL,,24-Jul-13,6083,Air
AI0016073,BLR Y DEL,,21-Jul-13,10026,Air
AI0016145,BLR y DEL,,25-Jul-13,8230,Air
AI0016398,BOM Y BLR,,20-Jul-13,3099,Air
AI0016524,BOM Y DEL,,24-Jul-13,5218,Air
AI0016535,DEL o BOM,,25-Jul-13,5859,Air
AI0016749,BLR Y BOM,,24-Jul-13,5676,Air
AI0016749,BOM Y BLR,,25-Jul-13,4217,Air
AI0016758,BLR Y BOM,,29-Jul-13,3129,Air
AI0016801,BLR Y DEL,,24-Jul-13,8781,Air
AI0016801,DEL Y BLR,,25-Jul-13,6529,Air
AI0016924,HYD Y BLR,,25-Jul-13,3739,Air
AI0016924,BLR Y HYD,,25-Jul-13,3740,Air
AI0016925,BLR Y BOM,,24-Jul-13,2878,Air
AI0016937,BLR Y BOM,,24-Jul-13,2859,Air
AI0016959,BOM Y BLR,,30-Jul-13,3999,Air
AI0016961,BOM Y BLR,,31-Jul-13,3630,Air
AI0017068,BLR Y HYD,,25-Jul-13,5247,Air
AI0017210,DEL v PNQ,,25-Jul-13,7715,Air
AI0017242,BOM Y BLR,,28-Jul-13,4100,Air
AI0017264,BOM Y AMD,,29-Jul-13,2412,Air
AI0017265,BLR Y BOM,,29-Jul-13,4681,Air
AI0017294,BLR Y BOM,,29-Jul-13,2866,Air
