slno,tofro,via,date,total,type
AI0028193,BLR Y BOM,,10-Oct-13,7956,Air
AI0028251,BLR s BOM,,10-Oct-13,6466,Air
AI0028251,BOM h BLR,,10-Oct-13,6467,Air
AI0028321,BLR g BOM,,10-Oct-13,6920,Air
AI0028321,BOM v BLR,,10-Oct-13,6920,Air
AI0028413,FRA q BLR,,10-Oct-13,15000,Air
AI0028362,BOM Y BLR,,10-Oct-13,8251,Air
AI0028516,BLR Y IXC,,21-Oct-13,9939,Air
AI0028516,IXC Y BLR,,26-Oct-13,7708,Air
AI0028516,BLR Y IXC,,21-Oct-13,9939,Air
AI0028516,IXC Y BLR,,26-Oct-13,7708,Air
AI0028517,BLR Y IXC,,21-Oct-13,9939,Air
AI0028530,IXC l DEL,,26-Oct-13,5775,Air
AI0028531,DEL t BLR,,27-Oct-13,8284,Air
AI0028574,BLR k FRA,,27-Oct-13,25202,Air
AI0028574,FRA k BLR,,27-Oct-13,25203,Air
AI0028576,EWR y BLR,LHR,14-Oct-13,9000,Air
AI0028621,BOM Y BLR,,15-Oct-13,7762,Air
AI0028647,BLR y BOM,,19-Oct-13,7216,Air
AI0028861,YUL h NRT,YYZ,15-Oct-13,59500,Air
AI0028861,NRT n YUL,YYZ,15-Oct-13,59500,Air
AI0028863,YUL h NRT,YYZ,15-Oct-13,59500,Air
AI0028863,NRT n YUL,YYZ,15-Oct-13,59500,Air
AI0029070,DEL y BLR,,16-Oct-13,10624,Air
AI0029257,BLR Y BOM,,19-10-2013,7745,Air
AI0029276,BLR Y BOM,,19-10-2013,7996,Air
AI0029283,BLR Y DEL,,21-10-2013,11706,Air
AI0029286,BLR Y DEL,,19-10-2013,11706,Air
AI0029324,BLR y DEL,,21-10-2013,10152,Air
AI0029324,BLR y DEL,,21-10-2013,10152,Air
AI0030218,BLR v EWR,BOM,21-10-2013,37415,Air
AI0030218,EWR v BLR,BOM,21-10-2013,37415,Air
AI0029384,BLR Y DEL,,19-10-2013,11565,Air
AI0029447,BLR y DEL,,20-10-2013,10713,Air
AI0029537,BOM o DEL,,03-11-2013,7983,Air
AI0029583,BLR y DEL,,21-10-2013,10196,Air
AI0029583,DEL y BLR,,21-10-2013,10196,Air
AI0029583,BLR y DEL,,21-10-2013,10196,Air
AI0029583,DEL y BLR,,21-10-2013,10196,Air
AI0029704,FRA s DEL,BOM,02-11-2013,34008,Air
AI0029704,DEL k FRA,,02-11-2013,34009,Air
AI0029703,BLR q EWR,LHR,22-10-2013,36000,Air
AI0029703,EWR q BLR,LHR,22-10-2013,36000,Air
AI0029848,DEL s BLR,,21-10-2013,10389,Air
AI0029930,BLR s PVG,HKG,25-10-2013,22500,Air
AI0029930,PVG v BLR,HKG,25-10-2013,22500,Air
AI0029931,BLR s PVG,HKG,25-10-2013,22500,Air
AI0029931,PVG v BLR,HKG,25-10-2013,22500,Air
AI0029984,BLR Y HYD,,25-10-2013,5584,Air
AI0030031,DEL Y BLR,,30-10-2013,10159,Air
AI0030063,BLR y DEL,,24-10-2013,10713,Air
AI0030102,NYC v BLR,BOM,30-10-2013,21870,Air
AI0030412,BLR q EWR,DXB,14-11-2013,43100,Air
AI0030412,EWR x BLR,DXB,14-11-2013,43100,Air
AI0030316,BLR y MAA,,24-10-2013,4949,Air
AI0030391,BOM Y BLR,,01-11-2013,8079,Air
AI0030399,BLR Y BOM,,26-10-2013,7996,Air
AI0030414,MAA n PVG,HKG,25-10-2013,20500,Air
AI0030414,PVG n BLR,HKG,25-10-2013,20500,Air
AI0030418,BOM Y BLR,,28-10-2013,9556,Air
AI0030418,BLR Y BOM,,29-10-2013,7996,Air
AI0030443,BOM Y DEL,,30-10-2013,11072,Air
AI0030446,DEL Y BLR,,30-10-2013,11566,Air
AI0030471,BLR Y BOM,,31-10-2013,7745,Air
AI0030589,BLR Y BOM,,27-10-2013,7868,Air
AI0030592,BOM y BLR,,27-10-2013,7351,Air
AI0030625,BLR Y BOM,,26-10-2013,7679,Air
AI0030694,BLR Y DEL,,30-10-2013,11917,Air
AI0030694,DEL Y BLR,,07-11-2013,10300,Air
AI0031078,DEL y BLR,,05-11-2013,10668,Air
AI0031078,BLR y DEL,,05-11-2013,10668,Air
AI0031185,BOM Y BLR,,01-11-2013,8631,Air
AI0031186,BOM Y BLR,,01-11-2013,8831,Air
AI0031243,BLR Y BOM,,01-11-2013,8249,Air
AI0031243,BOM Y BLR,,01-11-2013,8017,Air
AI0031258,BLR s BOM,,01-11-2013,8087,Air
AI0031259,BLR s BOM,,01-11-2013,8087,Air
AI0031450,BOM h BLR,,01-Nov-13,8104,Air
AI0031442,DEL y BLR,,04-Nov-13,10624,Air
AI0031462,BLR Y DEL,,05-Nov-13,11565,Air
AI0031462,DEL Y BLR,,05-Nov-13,14013,Air
AI0031630,BLR Y PAT,,13-Nov-13,10097,Air
AI0031717,BLR Y BOM,,10-Nov-13,10212,Air
AI0031717,BOM Y BLR,,22-Nov-13,5334,Air
AI0031767,DEL Y BLR,,10-Nov-13,12844,Air
AI0031831,BOM Y BLR,,07-Nov-13,7762,Air
AI0031914,BOM Y BLR,,11-Nov-13,7828,Air
AI0031914,BLR Y BOM,,11-Nov-13,7745,Air
AI0031970,BLR y DEL,,09-Nov-13,10713,Air
AI0032038,BOM Y BLR,,13-Nov-13,7828,Air
AI0032079,BLR y BOM,,12-Nov-13,7216,Air
AI0032255,BLR Y BOM,,12-Nov-13,7996,Air
AI0032255,BLR Y BOM,,12-Nov-13,7996,Air
AI0032276,BOM Y BLR,,13-Nov-13,7828,Air
AI0032323,BLR y DEL,,10-Nov-13,10713,Air
AI0032634,BOM Y BLR,,13-Nov-13,8079,Air
AI0032634,BLR Y BOM,,13-Nov-13,7996,Air
AI0032710,BOM Y BLR,,13-Nov-13,9177,Air
AI0032728,BLR y DEL,,14-Nov-13,10713,Air
AI0032740,BOM Y BLR,,12-Nov-13,8332,Air
AI0032756,BOM y HYD,,13-Nov-13,5297,Air
AI0032758,BOM y BLR,,14-Nov-13,7351,Air
AI0032790,HYD Y BOM,,15-Nov-13,6005,Air
AI0032823,BLR y HYD,,14-Nov-13,5298,Air
AI0032823,HYD y BLR,,14-Nov-13,5299,Air
AI0032824,DEL y HYD,,14-Nov-13,9855,Air
AI0032825,BOM y DEL,,16-Nov-13,10079,Air
AI0032870,BLR Y BOM,,14-Nov-13,7996,Air
AI0032870,BOM Y BLR,,14-Nov-13,8039,Air
AI0033149,HYD y BLR,,14-Nov-13,5438,Air
AI0033289,BOM Y HYD,,21-Nov-13,5125,Air
AI0033332,BLR y BOM,,19-Nov-13,7216,Air
AI0033342,DEL y BOM,,19-Nov-13,9855,Air
AI0033343,BOM y DEL,,21-Nov-13,10079,Air
AI0033466,BOM y DEL,,16-Nov-13,10079,Air
AI0033508,BLR Y BOM,,19-Nov-13,7996,Air
AI0033508,BOM Y BLR,,19-Nov-13,7828,Air
AI0033992,BLR h BOM,,19-Nov-13,7234,Air
AI0033992,BOM h BLR,,19-Nov-13,7234,Air
AI0034070,DEL y BOM,,19-Nov-13,9855,Air
AI0034246,BLR Y BOM,,21-Nov-13,7996,Air
AI0034246,BOM Y BLR,,21-Nov-13,8332,Air
AI0034353,BLR t BOM,,22-Nov-13,15004,Air
AI0034331,BLR Y DEL,,25-Nov-13,12041,Air
AI0034331,DEL Y BLR,,25-Nov-13,11706,Air
AI0034485,HYD Y BOM,,24-Nov-13,5794,Air
AI0034487,BLR Y BOM,,25-Nov-13,7996,Air
AI0034564,CCU h BLR,BOM,26-Nov-13,14860,Air
AI0034624,BLR Y BOM,,25-Nov-13,8168,Air
AI0034624,BOM Y BLR,,25-Nov-13,8079,Air
AI0034778,BLR e BOM,,24-Nov-13,7872,Air
AI0034780,BOM h BLR,,25-Nov-13,8079,Air
AI0034833,BLR y BOM,,25-Nov-13,7216,Air
AI0034835,BLR y BOM,,29-Nov-13,7216,Air
AI0034902,BOM Y BLR,,25-Nov-13,8079,Air
AI0035207,BOM h BLR,,01-Dec-13,6652,Air
AI0035207,BLR v BOM,,01-Dec-13,6653,Air
AI0035488,BLR h DEL,BOM,02-Dec-13,19066,Air
AI0035557,BLR y HYD,,04-Dec-13,5298,Air
AI0035557,HYD y BLR,,04-Dec-13,5299,Air
AI0035557,BLR y HYD,,04-Dec-13,5298,Air
AI0035557,HYD y BLR,,04-Dec-13,5299,Air
AI0035607,DEL y BLR,,02-Dec-13,10152,Air
AI0035737,BLR e DEL,,02-Dec-13,11936,Air
AI0035618,BLR y LKO,,05-Dec-13,10146,Air
AI0035618,LKO y BLR,,05-Dec-13,10147,Air
AI0035621,DEL y BOM,,03-Dec-13,9449,Air
AI0035621,BOM y DEL,,03-Dec-13,9450,Air
AI0035738,BLR e BOM,,30-Nov-13,7872,Air
AI0035741,BOM h BLR,,30-Nov-13,8079,Air
AI0035843,HYD h LHR,DXB,09-Dec-13,43250,Air
AI0035843,LHR e BLR,DXB,09-Dec-13,43250,Air
AI0036017,BLR h DEL,BOM,04-Dec-13,18698,Air
AI0036056,HYD y BLR,,19-Dec-13,5438,Air
AI0036056,HYD y BLR,,19-Dec-13,5438,Air
AI0036056,HYD y BLR,,19-Dec-13,5438,Air
AI0036056,HYD y BLR,,19-Dec-13,5438,Air
AI0036057,BLR y HYD,,18-Dec-13,5161,Air
AI0036057,BLR y HYD,,18-Dec-13,5161,Air
AI0036058,BLR y HYD,,19-Dec-13,5161,Air
AI0036058,BLR y HYD,,19-Dec-13,5161,Air
AI0036242,BLR v KUL,,04-Dec-13,18500,Air
AI0036242,KUL n BLR,,04-Dec-13,18500,Air
AI0036368,BLR y DEL,,06-Dec-13,10151,Air
AI0036368,DEL y BLR,,06-Dec-13,10151,Air
AI0036368,BLR y DEL,,06-Dec-13,10151,Air
AI0036368,DEL y BLR,,06-Dec-13,10151,Air
AI0036203,BOM Y DEL,,05-Dec-13,11072,Air
AI0036244,BLR w SYD,,10-Dec-13,37500,Air
AI0036244,SYD q BLR,BKK,10-Dec-13,37500,Air
AI0036260,BOM Y DEL,,05-Dec-13,11072,Air
AI0036297,DEL Y BLR,,06-Dec-13,11901,Air
AI0036297,BLR Y DEL,,06-Dec-13,11933,Air
AI0036499,BLR h ORD,LHR,11-Jan-14,57500,Air
AI0036499,ORD q BLR,LHR,11-Jan-14,57500,Air
AI0036374,DEL y BLR,,06-Dec-13,9857,Air
AI0036374,DEL y BLR,,06-Dec-13,9857,Air
AI0036498,BRU s LHR,,15-Dec-13,11773,Air
AI0036498,LHR e BRU,,15-Dec-13,11773,Air
AI0036498,BSL y BRU,,13-Dec-13,11792,Air
AI0036498,DEL v BSL,LON,10-Dec-13,49671,Air
AI0036498,BSL v LON,BRU,10-Dec-13,49671,Air
AI0036498,LON w DEL,,24-Dec-13,0,Fill up
AI0036502,BLR s PVG,HKG,10-Dec-13,19000,Air
AI0036502,PVG s BLR,HKG,10-Dec-13,19000,Air
AI0036535,BOM Y BLR,,06-Dec-13,7828,Air
AI0036535,BLR Y BOM,,07-Dec-13,7745,Air
VI0003091,Towards Dubai Visa Charges ,,,5380,Visa
AI0036703,BLR Y BOM,,09-Dec-13,7996,Air
AI0036723,BOM Y BLR,,09-Dec-13,8009,Air
AI0036770,BLR n KUL,,11-Dec-13,13750,Air
AI0036770,KUL n BLR,,11-Dec-13,13750,Air
AI0036974,DXB b BLR,,12-Dec-13,27800,Air
AI0037330,BLR y BOM,,11-Dec-13,7186,Air
AI0037330,BOM y BLR,,11-Dec-13,7186,Air
AI0037186,BLR v DXB,,11-Dec-13,17200,Air
AI0037212,IAH r BLR,DXB,10-Dec-13,9000,Air
AI0037236,BLR Y BOM,,11-Dec-13,7996,Air
VI0003143,Towards Dubai Visa Charges ,,,5380,Visa
AI0037350,BLR t DXB,BOM,11-Dec-13,21100,Air
AI0037350,DXB t BLR,IXE,11-Dec-13,21100,Air
AI0037351,BLR w SIN,,16-Dec-13,23750,Air
AI0037351,SIN e BLR,,16-Dec-13,23750,Air
AI0037357,BOM Y BLR,,15-Dec-13,8039,Air
AI0037357,BLR Y BOM,,15-Dec-13,7868,Air
AI0037565,BOM e BLR,,11-Dec-13,8017,Air
AI0037584,BLR s DEL,,15-Dec-13,10429,Air
AI0037585,DEL h BOM,,16-Dec-13,10536,Air
AI0037586,BOM s BLR,,19-Dec-13,7470,Air
VI0003176,Canada Visa Charges ,,,10500,Visa
VI0003185,Malaysia Visa Charges ,,,1900,Visa
AI0037709,BOM Y BLR,,16-Dec-13,8457,Air
AI0037716,BLR y BOM,,17-Dec-13,6698,Air
AI0037788,BOM Y GOI,,19-Dec-13,8672,Air
AI0037803,BLR s DEL,,15-Dec-13,10529,Air
AI0037804,DEL h BOM,,16-Dec-13,10636,Air
AI0038099,BLR Y BOM,,20-Dec-13,8682,Air
AI0038099,BOM Y BLR,,20-Dec-13,10295,Air
AI0038205,HYD y BLR,,19-Dec-13,5438,Air
AI0038205,HYD y BLR,,19-Dec-13,5438,Air
AI0038205,HYD y BLR,,19-Dec-13,5438,Air
AI0038205,HYD y BLR,,19-Dec-13,5438,Air
AI0038206,BLR y HYD,,18-Dec-13,5161,Air
AI0038206,BLR y HYD,,18-Dec-13,5161,Air
AI0038297,BLR Y BOM,,20-Dec-13,7745,Air
AI0038297,BOM Y BLR,,20-Dec-13,8251,Air
AI0038321,BLR s BOM,,20-Dec-13,7387,Air
AI0038339,BOM Y BLR,,20-Dec-13,8079,Air
AI0038405,BOM Y BLR,,19-Dec-13,7828,Air
AI0038465,BLR u BOM,,20-Dec-13,7317,Air
AI0038465,BOM w BLR,,20-Dec-13,7317,Air
AI0038468,BOM u BLR,,22-Dec-13,6945,Air
AI0038468,BLR u BOM,,22-Dec-13,6946,Air
AI0038561,BOM Y BLR,,20-Dec-13,8448,Air
AI0038672,DEL t BLR,,11-Jan-14,8284,Air
AI0038678,BOM y BLR,,20-Dec-13,6327,Air
AI0038797,BLR s DEL,,23-Dec-13,10504,Air
AI0038797,DEL s BLR,,25-Dec-13,10364,Air
AI0038956,BLR s DEL,,23-Dec-13,10113,Air
AI0038899,DEL y BOM,,24-Dec-13,9338,Air
AI0039115,BLR u DEL,,26-Dec-13,10807,Air
AI0039115,DEL g BLR,,26-Dec-13,10808,Air
AI0039206,GOI t BLR,,02-Jan-14,13357,Air
AI0039207,BLR y GOI,,29-Dec-13,6680,Air
AI0039145,BLR Y BOM,,26-Dec-13,7996,Air
AI0039257,BLR u DEL,,27-Dec-13,10750,Air
AI0039257,DEL u BLR,,27-Dec-13,10750,Air
AI0039456,BLR v BOM,,06-Jan-14,6940,Air
AI0039590,BLR v BOM,,06-Jan-14,7040,Air
AI0040002,DEL t BLR,,15-Jan-14,10399,Air
AI0040383,HYD Y BLR,,07-Jan-14,5808,Air
AI0040612,BOM Y BLR,,15-Jan-14,7234,Air
AI0040612,BLR Y BOM,,10-Jan-14,7996,Air
AI0040754,BLR Y BOM,,09-Jan-14,7996,Air
AI0040754,BLR Y BOM,,09-Jan-14,7996,Air
AI0040783,BLR s DEL,,10-Jan-14,10429,Air
AI0040784,BLR s DEL,,10-Jan-14,10334,Air
AI0040784,DEL s BLR,,10-Jan-14,10334,Air
AI0040785,BLR s DEL,,10-Jan-14,10334,Air
AI0040785,DEL s BLR,,10-Jan-14,10334,Air
AI0040892,BLR e BOM,,13-Jan-14,8083,Air
AI0040892,BOM e BLR,,13-Jan-14,8084,Air
AI0041224,DEL y HYD,,12-Jan-14,10032,Air
AI0041247,HYD Y BLR,,14-Jan-14,6019,Air
AI0041256,BOM Y BLR,,14-Jan-14,8079,Air
AI0041487,BLR Y BOM,,15-Jan-14,7234,Air
AI0041487,BOM Y BLR,,15-Jan-14,7235,Air
AI0041789,BLR y DEL,,17-Jan-14,10332,Air
AI0041789,DEL y BLR,,17-Jan-14,10333,Air
AI0041753,BLR s PVG,HKG,22-Jan-14,23917,Air
AI0041753,PVG v BLR,HKG,22-Jan-14,23918,Air
AI0041798,BLR Y BOM,,17-Jan-14,7234,Air
AI0041798,BOM Y BLR,,17-Jan-14,7235,Air
VI0003503,China Visa Charges,,,5614,Visa
VI0003504,Switzerland Visa Charges,,,7000,Visa
VI0003505,Towards Dubai Visa Charges ,,,5362,Visa
AI0041838,BLR y HYD,,22-Jan-14,5389,Air
AI0041838,HYD y BLR,,22-Jan-14,5389,Air
AI0041839,BLR y HYD,,22-Jan-14,5389,Air
AI0041839,HYD y BLR,,22-Jan-14,5389,Air
AI0042220,BLR e BOM,,17-Jan-14,8011,Air
AI0042226,BOM k BLR,,17-Jan-14,8554,Air
AI0041932,BLR Y BOM,,20-Jan-14,7900,Air
AI0041932,BOM Y BLR,,20-Jan-14,7900,Air
AI0041994,HYD e NCL,LON,26-Jan-14,5600,Air
AI0041994,NCL n HYD,LON,26-Jan-14,5600,Air
VI0003518,China Visa Charges,,,7547,Visa
AI0042068,BLR e BOM,,20-Jan-14,7331,Air
AI0042068,BOM e BLR,,20-Jan-14,7332,Air
AI0042086,BOM q HKG,,21-Jan-14,17500,Air
AI0042086,HKG n BLR,,21-Jan-14,17500,Air
AI0042096,BLR t HKG,BOM,20-Jan-14,14250,Air
AI0042096,HKG t BLR,BOM,20-Jan-14,14250,Air
AI0042325,BLR s BOM,,20-Jan-14,7337,Air
AI0042232,BLR w SIN,,20-Jan-14,20800,Air
AI0042274,BLR y AMD,,22-Jan-14,9615,Air
AI0042274,AMD y BLR,,22-Jan-14,9616,Air
AI0042283,BOM y AMD,,23-Jan-14,4859,Air
AI0042289,SIN y BLR,,22-Jan-14,10729,Air
AI0042363,BLR y BOM,,21-Jan-14,6885,Air
AI0042363,BOM y BLR,,21-Jan-14,6886,Air
AI0042363,BLR y BOM,,21-Jan-14,6885,Air
AI0042363,BOM y BLR,,21-Jan-14,6886,Air
AI0042363,BLR y BOM,,21-Jan-14,6885,Air
AI0042363,BOM y BLR,,21-Jan-14,6886,Air
AI0042454,AMD y BLR,,23-Jan-14,9579,Air
AI0042048,DEL y BLR,,25-01-2014,10289,Air
AI0042414,BLR Y BOM,,22-01-2014,7996,Air
AI0042421,BOM Y DEL,,22-01-2014,11072,Air
AI0042426,DEL Y BLR,,23-01-2014,11901,Air
AI0042651,COK m AMD,,21-02-2014,6867,Air
AI0042734,ZRH p MUC,TXL,23-01-2014,13500,Air
AI0042735,ZRH p MUC,TXL,23-01-2014,14450,Air
AI0042735,MUC q ZRH,TXL,23-01-2014,14450,Air
AI0042603,BLR Y BOM,,24-01-2014,7150,Air
AI0042603,BOM Y BLR,,24-01-2014,7151,Air
AI0042608,BOM Y BLR,,06-02-2014,5440,Air
AI0042608,BLR Y BOM,,06-02-2014,5440,Air
AI0042608,BOM Y BLR,,06-02-2014,5440,Air
AI0042608,BLR Y BOM,,06-02-2014,5440,Air
AI0042791,BLR b DXB,,26-01-2014,17150,Air
AI0042791,DXB x BLR,,26-01-2014,17150,Air
AI0042736,BLR w SIN,,03-02-2014,18400,Air
AI0042736,SIN w BLR,,03-02-2014,18400,Air
AI0042740,NRT y BLR,SIN,10-02-2014,53500,Air
AI0042740,BLR y NRT,SIN,10-02-2014,53500,Air
AI0043076,BLR b DXB,,26-01-2014,4150,Air
AI0043076,DXB b BLR,,26-01-2014,4150,Air
AI0043326,BOM v ZRH,,30-01-2014,34000,Air
AI0043326,ZRH v LKO,DEL,30-01-2014,34000,Air
AI0043330,BLR w SIN,,04-02-2014,750,Air
AI0043330,SIN w BLR,,04-02-2014,750,Air
AI0043359,BLR Y BOM,,29-01-2014,7714,Air
AI0043359,BOM Y BLR,,29-01-2014,7715,Air
AI0043359,BLR Y BOM,,29-01-2014,7714,Air
AI0043359,BOM Y BLR,,29-01-2014,7715,Air
AI0043359,BLR Y BOM,,29-01-2014,7714,Air
AI0043359,BOM Y BLR,,29-01-2014,7715,Air
AI0043364,BLR Y BOM,,29-01-2014,7420,Air
AI0043442,BLR h BOM,,28-01-2014,7996,Air
AI0043443,BOM h BLR,,28-01-2014,8079,Air
AI0043529,BLR Y BOM,,29-01-2014,7220,Air
AI0043529,BOM Y BLR,,29-01-2014,7220,Air
AI0043572,BLR Y BOM,,31-01-2014,7094,Air
AI0043572,BOM Y BLR,,31-01-2014,7094,Air
AI0043595,BOM y BLR,,29-01-2014,6955,Air
AI0043595,BOM y BLR,,29-01-2014,6955,Air
AI0043595,BOM y BLR,,29-01-2014,6955,Air
AI0043609,BOM Y IXE,,03-02-2014,5864,Air
AI0043707,BLR Y BOM,,29-01-2014,7996,Air
AI0043708,BOM Y DEL,,30-01-2014,11072,Air
AI0043720,BLR Y DEL,,30-01-2014,10689,Air
AI0043720,DEL Y BLR,,30-01-2014,10689,Air
AI0043724,DEL y BLR,,31-01-2014,10289,Air
AI0043725,LKO y DEL,,03-02-2014,5285,Air
AI0043740,BLR y BOM,,03-02-2014,6819,Air
AI0043741,BLR y BOM,,03-02-2014,6885,Air
AI0043741,BOM y BLR,,03-02-2014,6886,Air
AI0043742,BOM y BLR,,29-01-2014,6955,Air
VI0003637,Switzerland Visa,,,7500,Visa
AI0043828,BLR w SIN,,04-02-2014,18900,Air
AI0043828,SIN w BLR,,04-02-2014,18900,Air
AI0043830,DEL e ZRH,,04-02-2014,31900,Air
AI0043830,ZRH h BLR,BOM,04-02-2014,31900,Air
AI0043775,HYD Y BLR,,03-02-2014,5868,Air
AI0043775,BLR Y HYD,,03-02-2014,5644,Air
AI0043840,BLR h BOM,,31-01-2014,7567,Air
AI0043840,BOM s BLR,,31-01-2014,7567,Air
AI0043853,BLR h BOM,,30-01-2014,7234,Air
AI0043853,BOM h BLR,,30-01-2014,7234,Air
AI0043879,BLR y LKO,,03-02-2014,10338,Air
AI0043879,LKO y BLR,,03-02-2014,10339,Air
AI0043879,BLR y LKO,,03-02-2014,10338,Air
AI0043879,LKO y BLR,,03-02-2014,10339,Air
AI0043880,BLR y LKO,,03-02-2014,10439,Air
AI0043881,HYD y BOM,,03-02-2014,5000,Air
AI0043883,BOM y BLR,,04-02-2014,6955,Air
AI0044657,BLR y SIN,,06-02-2014,10429,Air
AI0044657,SIN y BLR,,06-02-2014,10430,Air
AI0044071,BLR y BOM,,03-02-2014,6819,Air
AI0044072,BOM y DEL,,05-02-2014,9728,Air
AI0044075,BLR y LKO,,03-02-2014,13297,Air
AI0044075,LKO y BLR,,03-02-2014,13298,Air
AI0044076,BOM y BLR,,04-02-2014,6955,Air
AI0044077,BLR y BOM,,03-02-2014,6819,Air
AI0044172,GVA w CPH,,18-02-2014,20000,Air
AI0044174,HYD n ZRH,LON,11-02-2014,39100,Air
AI0044174,ZRH n HYD,LON,11-02-2014,39100,Air
AI0044547,DEL u ZRH,DXB,04-02-2014,31500,Air
AI0044547,ZRH u BLR,DXB,04-02-2014,31500,Air
VI0003688,Malaysia Visa,,,4000,Visa
AI0044548,DEL e LHR,,11-02-2014,25900,Air
AI0044548,LHR e DEL,,11-02-2014,25900,Air
AI0044549,LHR n ZRH,,11-02-2014,10000,Air
AI0044549,ZRH o LHR,CPH,11-02-2014,10000,Air
AI0044550,GVA w CPH,,18-02-2014,22000,Air
AI0044551,BLR q KUL,,05-02-2014,16750,Air
AI0044551,KUL s BLR,,05-02-2014,16750,Air
AI0044552,BLR q KUL,,05-02-2014,16750,Air
AI0044552,KUL s BLR,,05-02-2014,16750,Air
AI0044605,ZRH y MUC,,14-02-2014,19400,Air
AI0044605,MUC y GVA,,14-02-2014,19400,Air
VI0003703,China Visa,,,15000,Visa
VI0003704,China Visa,,,15000,Visa
VI0003705,China Visa,,,15000,Visa
AI0044604,BLR Y HYD,,03-02-2014,5133,Air
AI0044604,HYD Y BLR,,03-02-2014,5134,Air
AI0044678,HYD y DEL,,03-02-2014,10397,Air
AI0044620,LKO Y DEL,,03-02-2014,5625,Air
AI0044762,DEL Y BLR,,06-02-2014,9869,Air
AI0044762,BLR Y DEL,,06-02-2014,9870,Air
AI0044789,BLR y DEL,,04-02-2014,10290,Air
AI0044789,DEL y BLR,,04-02-2014,10290,Air
AI0044843,DEL Y BLR,,04-02-2014,11320,Air
AI0045025,BOM y DEL,,06-02-2014,8979,Air
AI0045205,BLR Y BOM,,07-02-2014,8312,Air
AI0045226,BOM y BLR,,07-02-2014,5225,Air
AI0045259,BLR Y BOM,,07-02-2014,8312,Air
AI0045322,BOM y BLR,,07-02-2014,5225,Air
AI0045397,BOM Y BLR,,07-02-2014,7889,Air
AI0045587,BOM Y DEL,,12-02-2014,11072,Air
AI0045590,DEL Y BOM,,13-02-2014,10849,Air
AI0045786,BLR y BOM,,10-02-2014,5089,Air
AI0045642,IXC y HYD,,09-02-2014,16422,Air
AI0045842,DEL y BLR,,17-02-2014,10291,Air
AI0045842,BLR y DEL,,17-02-2014,10292,Air
AI0045863,HYD y BLR,,11-02-2014,5043,Air
AI0045992,BLR Y BOM,,12-02-2014,7234,Air
AI0045992,BOM Y BLR,,12-02-2014,7235,Air
AI0046043,BLR Y BOM,,15-02-2014,7996,Air
AI0046070,BLR y DEL,,13-02-2014,10291,Air
AI0046070,DEL y BLR,,13-02-2014,10292,Air
AI0046086,BLR y DEL,,13-02-2014,10291,Air
AI0046086,DEL y BLR,,13-02-2014,10292,Air
AI0046131,BLR Y BOM,,14-02-2014,7996,Air
AI0046139,BLR y BOM,,13-02-2014,5156,Air
AI0046139,BOM y BLR,,13-02-2014,5156,Air
AI0046140,BLR y BOM,,13-02-2014,5156,Air
AI0046140,BOM y BLR,,13-02-2014,5156,Air
AI0046141,BOM y BLR,,14-02-2014,10446,Air
AI0046215,BLR Y BOM,,13-02-2014,7234,Air
AI0046215,BOM Y BLR,,13-02-2014,7235,Air
AI0046239,BLR Y BOM,,13-02-2014,7996,Air
AI0046299,BLR y DEL,,16-02-2014,10336,Air
AI0046375,BOM s BLR,,13-02-2014,7445,Air
AI0046376,BOM s BLR,,13-02-2014,7445,Air
AI0046458,BOM Y BLR,,14-02-2014,10295,Air
AI0046488,BOM y BLR,,14-02-2014,10446,Air
AI0046489,BLR y AMD,,21-02-2014,9616,Air
AI0046489,AMD y BLR,,21-02-2014,9617,Air
AI0046489,BLR y AMD,,21-02-2014,9616,Air
AI0046489,AMD y BLR,,21-02-2014,9617,Air
AI0046490,AMD y BLR,,23-02-2014,9580,Air
AI0046490,AMD y BLR,,23-02-2014,9580,Air
AI0046845,BLR Y BOM,,28-Feb-14,6690,Air
AI0046845,BOM Y BLR,,24-Feb-14,8079,Air
AI0046872,BLR y AMD,,21-Feb-14,9629,Air
AI0047028,BOM y BLR,,19-Feb-14,5206,Air
AI0047029,MAA y BOM,,25-Feb-14,8201,Air
AI0047133,BLR u BOM,,21-Feb-14,7745,Air
AI0047134,BOM d BLR,,21-Feb-14,8445,Air
AI0047196,BLR Y BOM,,21-Feb-14,7745,Air
AI0047196,BOM Y BLR,,23-Feb-14,7828,Air
AI0047266,CCU y BLR,,20-Feb-14,9951,Air
AI0047207,BLR y AMD,,21-Feb-14,9591,Air
AI0047207,AMD y BLR,,21-Feb-14,9591,Air
AI0047475,BOM s BLR,,21-Feb-14,7445,Air
AI0047693,BOM y BLR,,03-Apr-14,4280,Air
AI0047693,BLR y BOM,,03-Apr-14,4280,Air
AI0047694,BOM y BLR,,24-Feb-14,10426,Air
AI0047733,BOM y BLR,,25-Feb-14,5206,Air
AI0047765,BLR y HYD,,26-Feb-14,4744,Air
AI0047793,BLR Y BOM,,25-Feb-14,7234,Air
AI0047793,BOM Y BLR,,25-Feb-14,7235,Air
AI0047812,DEL y HYD,,26-Feb-14,8729,Air
AI0047813,HYD y BLR,,28-Feb-14,5021,Air
AI0047843,BOM k BLR,,27-Feb-14,8976,Air
AI0047874,HYD Y BOM,,27-Feb-14,6005,Air
AI0047877,HYD Y BOM,,27-Feb-14,6005,Air
