"","crk","pred","n","cl","cr"
"1",0,0.66,15,0.420270285529724,0.899729714470276
"2",25,0.63,30,0.457230697171054,0.802769302828946
"3",50,0.4,15,0.152077431442799,0.647922568557201
"4",75,0.26,15,0.038020445385917,0.481979554614083
"5",100,0.2,15,-0.00242792956177432,0.402427929561774
"6",150,0.06,15,-0.0601849241793662,0.180184924179366
