CL,SCL,ORD,Fam,GEN,SP,REF,NEWREF,FAMLAB,GENLAB,SPLAB,COD,DISPCAT,DISP,MEGAFAUNA,AREA,HABIT,FRUIT,COLOR,COMPCOLOR,LENG,DIAM,FRFM,PDM,SDM,SEEDS,SEEDM,RY,KJG,KJFR,PCW,LIP,PRO,NSC,ASH,FIB,REFERENCE,,,Growth habit,Fruit type,Color,CompColor,Disperser type category,Disperser type,Area
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Crematosperma,poiteaui,71,9,ANNONACE,Crematos,poiteaui,CPOI,Mixed,,No,NTAmerica,,Drupe2,,,15.0,12.0,,,,,,,,,,,,,,,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Artabotrys,brachypetalus,36,43,ANNONACE,Artabotr,brachype,ABRA,Mixed,,No,Africa,,Berry2,,,,,,,,,,,12.35,,,0.045,0.031,0.588,0.043,0.296,"Viljoen, S. (1983)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Rauwenhoffia,leichardtii,43,4,ANNONACE,Rauwenho,leichard,RLEI,Birds,,No,Australasia,,Berry2,,,32.5,11.5,,,,,,,,,,0.069,0.014,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Xylopia,standtii,40,41,ANNONACE,Xylopia,standtii,XSTA,Mixed,,No,Africa,,Berry2,,,,,,,,,,,25.29,,35.0,0.365,0.075,0.559,0.001,,"Sourd, C. and A. Gauthier-Hion (1986)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Pachypodanthium,standtii,40,41,ANNONACE,Pachypod,standtii,PSTA,Mixed,,No,Africa,,Berry2,,,,,,,,,,,18.01,,72.0,0.060,0.040,0.888,0.012,,"Sourd, C. and A. Gauthier-Hion (1986)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Guatteria,consanguinea,25,45,ANNONACE,Guatteri,consangu,GCON,Mixed,,No,NTAmerica,,Berry2,,,,17.0,2.700,0.344,0.034,,,12.7,5.02,1.73,86.0,0.033,0.011,0.210,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Guatteria,amplifolia,35,48,ANNONACE,Guatteri,amplifol,GAMP,Mixed,,No,NTAmerica,,Drupe1,,,,,0.469,0.033,0.169,1.0,0.1690,7.0,18.46,0.61,83.9,,,,,,"Worthington, A.H. (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Desmopsis,bibracteata,38,49,ANNONACE,Desmopsi,bibracte,DBRI,Mixed,,No,NTAmerica,,Berry2,,,,,,0.063,0.346,2.3,0.1500,,,,,,,,,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Monanthotaxis,congensis,75,35,ANNONACE,Monantho,congensi,MCON,Mixed,,No,Africa,,Berry2,,,,,,,,,,,,,48.0,0.145,0.087,0.095,,0.296,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Unonopsis,pittieri,3,46,ANNONACE,Unonopsi,pittieri,UPIT,Mixed,,No,NTAmerica,,Berry2,,,,,3.714,0.859,0.835,,,27.1,18.58,15.97,,0.081,0.038,0.843,0.038,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Monodora,sp.,75,35,ANNONACE,Monodora,sp.,MOSP,Mixed,,No,Africa,,Berry2,,,,,,,,,,,,,38.8,0.011,0.054,0.291,,0.562,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Annonaceae,Uvaria,sp.1,39,3,ANNONACE,Uvaria,sp.1,UVSP,Birds,,No,Australasia,,Berry1,,,18.0,8.0,,,,,,,,,,,,,,,"Beehler, B. (1983)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Berberidaceae,Berberis,hispanica,0,17,BERBERID,Berberis,hispanic,BHIS,Birds,Small birds,No,MEurope,,Berry2,,,9.3,5.5,0.139,0.029,0.021,1.5,0.0140,21.1,17.54,0.51,63.5,0.043,0.051,0.669,0.029,0.221,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Berberidaceae,Berberis,vulgaris,0,17,BERBERID,Berberis,vulgaris,BVUL,Birds,Small birds,No,NEurope,,Berry2,,,10.4,5.5,0.148,0.026,0.020,1.6,0.0130,17.3,17.75,0.46,69.0,0.063,0.049,0.687,0.033,0.168,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Berberidaceae,Nandina,domestica,63,28,BERBERID,Nandina,domestic,NDOM,Birds,,No,NAmerica,,Berry1,,,,8.5,0.248,,,,,,18.50,,,,0.051,,,,"McPherson, J.M. (1987)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Berberidaceae,Caulophyllum,thalictroides,37,22,BERBERID,Caulophy,thalictr,CTHA,Birds,,No,NAmerica,,Berry2,,,,8.6,0.347,0.026,,1.0,,7.5,18.71,0.49,83.5,0.016,0.052,0.033,,,"Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Persea,sp.1,3,46,LAURACEA,Persea,sp.1,PSP,Birds,,No,NTAmerica,,Drupe1,,,,,,,,,,,28.17,,55.4,0.527,0.058,0.381,0.034,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,sp.rp,25,45,LAURACEA,Ocotea,sp.rp,ORP,Birds,,No,NTAmerica,,Drupe1,,,,12.0,1.370,0.155,0.188,1.0,,11.3,7.99,1.24,75.0,0.173,0.028,0.036,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Nectandra,hypoglauca,25,45,LAURACEA,Nectandr,hypoglau,NHYP,Birds,,No,NTAmerica,,Drupe1,,,,18.0,5.500,0.871,0.944,1.0,,15.8,16.07,14.01,67.0,0.332,0.015,0.179,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Litsea,bindoniana,43,4,LAURACEA,Litsea,bindonia,LBIN,Birds,,No,Australasia,,Drupe1,,,12.7,11.0,,,,,,,,,,,,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Phoebe,neurophylla,25,45,LAURACEA,Phoebe,neurophy,PNEU,Birds,,No,NTAmerica,,Drupe1,,,,13.0,1.620,0.331,0.187,1.0,,20.4,,,68.0,,0.011,0.102,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,oblonga,1,39,LAURACEA,Ocotea,oblonga,OOBL,Birds,,No,NTAmerica,,Drupe1,,,,,,,,1.0,,,22.18,,,0.190,0.110,0.700,,,"Snow, D.W. (1962)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Nectandra,salicina1,5,37,LAURACEA,Nectandr,salicin1,NSAL1,Birds,,No,NTAmerica,,Drupe1,,,37.0,21.8,7.700,1.000,1.486,1.0,4.6000,13.0,26.50,26.51,67.7,0.441,0.077,0.417,0.025,,"Snow, B.K. (1977)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Noid,noid3,71,9,LAURACEA,Noid,noid3,LAU3,Birds,,No,NTAmerica,,Drupe1,,,16.0,15.0,,,,,,,,,,,,,,,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Endiandra,sankeyana,43,4,LAURACEA,Endiandr,sankeyan,ESAN,Birds,,No,Australasia,,Drupe1,,,37.0,30.0,15.850,1.348,,,,8.5,,,86.9,0.107,0.114,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Endiandra,muelleri,43,4,LAURACEA,Endiandr,muelleri,EMUE,Birds,,No,Australasia,,Drupe1,,,27.1,12.2,2.540,0.267,,,,10.5,,,73.0,0.185,0.107,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,wachenheimii1,25,45,LAURACEA,Ocotea,wachenh1,OWAC1,Birds,,No,NTAmerica,,Drupe1,,,,17.0,2.940,0.311,0.395,1.0,,10.6,15.61,4.85,76.0,0.311,0.014,0.177,,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,austinii,25,45,LAURACEA,Ocotea,austinii,OAUS,Birds,,No,NTAmerica,,Drupe1,,,,11.0,1.310,0.259,0.239,1.0,,19.8,19.63,5.09,62.0,0.452,0.011,0.087,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Beilschmiedia,sp.bc,25,45,LAURACEA,Beilschm,sp.bc,BBC,Birds,,No,NTAmerica,,Drupe1,,,,22.0,12.890,2.078,1.918,1.0,,16.1,6.53,13.57,69.0,0.116,0.011,0.102,,,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Lindera,benzoin1,3,46,LAURACEA,Lindera,benzoi1,LBEN1,Birds,,No,NAmerica,,Drupe1,,,,,0.306,0.022,0.078,,,7.2,19.51,0.43,88.5,0.059,0.158,0.783,,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Persea,sp.2,3,46,LAURACEA,Persea,sp.2,PSP,Birds,,No,NTAmerica,,Drupe1,,,,,,,,,,,27.46,,78.0,0.500,0.060,0.400,0.041,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Beilschmiedia,costaricensis,25,45,LAURACEA,Beilschm,costaric,BCOS,Birds,,No,NTAmerica,,Drupe1,,,,23.0,12.420,1.103,1.878,1.0,,8.9,5.27,5.81,76.0,0.112,0.013,0.034,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Cryptocarya,aff.cinnamifolia,43,4,LAURACEA,Cryptoca,aff.cinn,CCIN,Birds,,No,Australasia,,Drupe1,,,14.5,18.1,2.160,0.102,,,,4.7,,,61.5,0.137,0.087,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Beilschmiedia,sp.,75,35,LAURACEA,Beilschm,sp.,BESP,Mixed,,No,Africa,,Drupe1,,,,,,,,,,,,,75.2,0.022,0.105,0.147,,0.343,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Litsea,glutinosa,43,4,LAURACEA,Litsea,glutinos,LGLU,Birds,,No,Australasia,,Drupe1,,,10.9,10.9,0.830,0.173,,,,20.9,,,52.3,0.368,0.116,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Phoebe,mexicana,25,45,LAURACEA,Phoebe,mexicana,PMEX,Birds,,No,NTAmerica,,Drupe1,,,,12.0,1.380,0.221,0.221,1.0,,16.0,12.85,2.84,68.0,0.280,0.012,0.090,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,tonduzii,25,45,LAURACEA,Ocotea,tonduzii,OTON,Birds,,No,NTAmerica,,Drupe1,,,,12.0,1.340,0.260,0.196,1.0,,19.4,14.69,3.82,66.0,0.294,0.010,0.167,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Cinnamomum,laubatii,43,4,LAURACEA,Cinnamom,laubatii,CLAU,Birds,,No,Australasia,,Drupe1,,,23.3,13.2,3.000,0.613,,,,20.4,,,63.6,0.231,0.066,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Cryptocarya,hypospodia,43,4,LAURACEA,Cryptoca,hypospod,CHYP,Birds,,No,Australasia,,Drupe1,,,12.2,12.2,1.030,0.136,,,,13.2,,,39.5,0.140,0.092,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,wachenheimii2,1,39,LAURACEA,Ocotea,wachenh2,OWAC2,Birds,,No,NTAmerica,,Drupe1,,,,,3.300,,,1.0,,,25.74,,,0.340,0.140,0.520,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,sp.k2,25,45,LAURACEA,Ocotea,sp.k2,OK2,Birds,,No,NTAmerica,,Drupe1,,,,20.0,7.430,0.752,0.883,1.0,,10.1,13.98,10.52,78.0,0.269,0.024,0.170,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,canaliculata,1,39,LAURACEA,Ocotea,canalicu,OCAN,Birds,,No,NTAmerica,,Drupe1,,,,,,,,1.0,,,25.37,,,0.340,0.080,0.580,,,"Snow, D.W. (1962)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,usambarensis,61,8,LAURACEA,Ocotea,usambare,OUSA,Mammals,,No,Africa,,Drupe1,,,30.0,20.0,,,,,,,,,,,,,,,"Snow, D.W. (1962)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Persea,veraguensis,25,45,LAURACEA,Persea,veraguen,PVER,Birds,,No,NTAmerica,,Drupe1,,,,11.0,0.670,0.093,0.189,1.0,,13.9,,,58.0,,,,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Cinnamomum,elongatum,1,39,LAURACEA,Cinnamom,elongatu,CELO,Birds,,No,NTAmerica,,Drupe1,,,,,0.600,,,1.0,,,27.71,,,0.440,0.090,0.470,,,"Snow, D.W. (1962)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Nectandra,davidsoniana,25,45,LAURACEA,Nectandr,davidson,NDAV,Birds,,No,NTAmerica,,Drupe1,,,,17.0,3.250,0.322,0.426,1.0,,9.9,12.14,3.91,77.0,0.253,0.012,0.110,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Laurus,nobilis,0,17,LAURACEA,Laurus,nobilis,LNOB,Birds,,No,MEurope,,Drupe1,,,14.8,12.2,1.234,0.283,0.698,1.0,0.6980,22.9,28.97,8.19,20.6,0.543,0.062,0.262,0.026,0.106,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,cf.Oblonga,71,9,LAURACEA,Ocotea,cf.Oblon,OOBL,Birds,,No,NTAmerica,,Drupe1,,,18.0,14.0,,,,,,,,,,,,,,,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,bernouliana,25,45,LAURACEA,Ocotea,bernouli,OBER,Birds,,No,NTAmerica,,Drupe1,,,,18.0,6.620,0.390,0.538,1.0,,5.9,4.06,1.59,86.0,0.058,0.023,0.079,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Noid,noid1,71,9,LAURACEA,Noid,noid1,LAU1,Birds,,No,NTAmerica,,Drupe1,,,17.0,14.0,,,,,,,,,,,,,,,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Nectandra,gentlei,25,45,LAURACEA,Nectandr,gentlei,NGEN,Birds,,No,NTAmerica,,Drupe1,,,,12.0,0.980,0.185,0.178,1.0,,18.9,16.16,2.99,63.0,0.361,0.016,0.090,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Endiandra,montana,43,4,LAURACEA,Endiandr,montana,EMON,Birds,,No,Australasia,,Drupe1,,,38.5,27.9,7.650,0.758,,,,9.9,,,82.2,0.094,0.043,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Beilschmiedia,sp.bl,25,45,LAURACEA,Beilschm,sp.bl,BBL,Birds,,No,NTAmerica,,Drupe1,,,,25.0,15.190,2.626,2.844,1.0,,17.3,,,64.0,,,,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Cryptocarya,mackinnoniona,43,4,LAURACEA,Cryptoca,mackinno,CMAC,Birds,,No,Australasia,,Drupe1,,,18.0,14.0,1.980,0.152,,,,7.7,,,64.9,0.309,0.074,,,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Endiandra,rfk15,43,4,LAURACEA,Endiandr,rfk15,ERFK,Birds,,No,Australasia,,Drupe1,,,27.6,12.4,2.100,0.209,,,,10.0,,,75.0,0.130,0.148,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Endiandra,hypotephra,43,4,LAURACEA,Endiandr,hypoteph,EHYP,Birds,,No,Australasia,,Drupe1,,,20.8,10.6,1.100,0.149,,,,13.5,,,67.8,0.206,0.116,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,sp.fl,25,45,LAURACEA,Ocotea,sp.fl,OFL,Birds,,No,NTAmerica,,Drupe1,,,,22.0,9.280,0.668,0.817,1.0,,7.2,10.93,7.31,84.0,0.235,0.019,0.074,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,sp.1,11,40,LAURACEA,Ocotea,sp.1,OSP1,Birds,,No,NTAmerica,,Drupe1,,,,,3.000,0.931,0.479,1.0,1.0200,31.0,25.87,24.10,53.0,0.355,0.108,0.537,,,"Snow, D.W. (1981)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,puberula,60,2,LAURACEA,Ocotea,puberula,OPUB,Birds,,No,NTAmerica,,Drupe1,,,8.0,7.0,,,,,,,,,,,,,,,"Atramentowicz, M. (1988)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Cryptocarya,libertiana,61,8,LAURACEA,Cryptoca,libertia,CLIB,Mixed,,No,Africa,,Drupe1,,,20.0,20.0,,,,,,,,,,,,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Nectandra,salicina2,25,45,LAURACEA,Nectandr,salicin2,NSAL2,Birds,,No,NTAmerica,,Drupe1,,,,19.0,7.420,1.104,1.196,1.0,,14.9,18.46,20.36,69.0,0.373,0.013,0.201,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Persea,sp.rp,25,45,LAURACEA,Persea,sp.rp,PRP,Birds,,No,NTAmerica,,Drupe1,,,,8.0,0.290,0.067,0.072,1.0,,23.1,,,52.0,,,,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,klotzschiana2,5,37,LAURACEA,Ocotea,klotzsc2,OKLO2,Birds,,No,NTAmerica,,Drupe1,,,,18.0,,0.418,0.419,1.0,,7.0,8.96,3.75,86.0,0.183,0.032,0.065,,,"Snow, B.K. (1977)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Litsea,leefeana,43,4,LAURACEA,Litsea,leefeana,LLEE,Birds,,No,Australasia,,Drupe1,,,13.6,9.7,0.700,0.114,,,,16.3,,,69.3,0.327,0.101,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Neolitsea,dealbata,43,4,LAURACEA,Neolitse,dealbata,NDEA,Birds,,No,Australasia,,Drupe1,,,9.0,9.0,0.430,0.077,,,,17.1,,,68.3,0.234,0.063,,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Lindera,benzoin2,37,22,LAURACEA,Lindera,benzoi2,LBEN2,Birds,,No,NAmerica,,Drupe1,,,,8.5,0.380,0.040,,1.0,,10.5,26.75,1.07,82.9,0.332,0.042,0.034,,,"Johnson, R.A., M.F. Willson, J.N. Thompson and R.I. Bertin (1985)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Nectandra,sp.nv,25,45,LAURACEA,Nectandr,sp.nv,NNV,Birds,,No,NTAmerica,,Drupe1,,,,17.0,4.030,0.639,0.692,1.0,,15.9,,,67.0,,,,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,sp.2,11,40,LAURACEA,Ocotea,sp.2,OSP2,Birds,,No,NTAmerica,,Drupe1,,,,,2.600,0.443,0.519,1.0,1.4040,17.0,22.56,10.00,63.0,0.220,0.066,0.714,,,"Snow, D.W. (1981)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Noid,noid2,71,9,LAURACEA,Noid,noid2,LAU4,Birds,,No,NTAmerica,,Drupe1,,,16.0,15.0,,,,,,,,,,,,,,,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Nectandra,sp.nc,25,45,LAURACEA,Nectandr,sp.nc,NNC,Birds,,No,NTAmerica,,Drupe1,,,,,1.080,0.237,0.151,1.0,,21.9,,,65.0,,,,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Noid,noid4,71,9,LAURACEA,Noid,noid4,LAU2,Birds,,No,NTAmerica,,Drupe1,,,26.0,15.0,,,,,,,,,,,,,,,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Lauraceae,Ocotea,klotzschiana1,25,45,LAURACEA,Ocotea,klotzsc1,OKLO1,Birds,,No,NTAmerica,,Drupe1,,,,18.0,5.800,0.812,0.419,1.0,,,,,86.0,0.183,0.144,,,,"Wheelwright, N.T., W.A. Haber, K.G. Murray and C. Guindon (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Magnoliacaeae,Elmerrillia,papuana,39,3,MAGNOLIA,Elmerril,papuana,EPAP,Birds,,No,Australasia,,Drupe2,,,7.0,7.0,,,,,,,,,,,,,,,"Rogers, M.E., F. Maisels, E.A. Williamson, M. Fernández and C.E.G. Tutin (1990)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Menispermaceae,Menispermum,canadense,37,22,MENISPER,Menisper,canadens,MCAN,Birds,,No,NAmerica,,Drupe1,,,,8.0,0.609,0.067,,1.0,,11.0,20.76,1.39,86.6,0.009,0.048,0.232,,,"Crome, F.H.J. (1975)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Menispermaceae,Stephania,abyssinica,61,8,MENISPER,Stephani,abyssini,STAB,Birds,,No,Africa,,Drupe1,,,6.5,6.5,,,,,,,,,,,,,,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Menispermaceae,Hypserpa,decumbens,43,4,MENISPER,Hypserpa,decumben,HDEC,Birds,,No,Australasia,,Drupe1,,,12.5,13.1,,,,,,,,,,,,,,,"Williams, C.K. (1982)",,,,,,,,,
Magnoliopsida,Magnoliidae,Ranunculales,Menispermaceae,Hypserpa,laurina,43,4,MENISPER,Hypserpa,laurina,HLAU,Birds,,No,Australasia,,Drupe1,,,14.7,13.7,1.350,0.139,,,,10.3,,,86.4,0.060,0.068,,,,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Monimiaceae,Hedycarya,arborea,33,47,MONIMIAC,Hedycary,arborea,HARB,Birds,,No,Australasia,,Drupe1,,,,,0.670,0.070,0.093,,,10.4,23.69,1.66,76.0,0.214,0.099,0.367,0.082,0.237,"Erard, C., M. Thery and D. Sabatier (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Monimiaceae,Xymalos,monospora,61,8,MONIMIAC,Xymalos,monospor,XMON,Birds,,No,Africa,,Drupe1,,,12.0,8.0,,,,,,,,,,,,,,,"Lambert, F. (1989)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Monimiaceae,Tetrasynandra,laxiflora,43,4,MONIMIAC,Tetrasyn,laxiflor,TLAX,Birds,,No,Australasia,,Drupe1,,,14.1,12.0,0.810,0.203,,,,25.0,,,65.4,0.014,0.088,,,,"Estrada, A., R. Coates-Estrada and C. Vázquez-Yanes (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Monimiaceae,Hedycarya,angustifolia,70,14,MONIMIAC,Hedycary,angustif,HANG,Birds,,No,Australasia,,Drupe1,,,,,0.515,0.057,0.040,22.3,0.0020,11.1,,,83.3,0.605,0.049,,,,"Estrada, A., R. Coates-Estrada and C. Vázquez-Yanes (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Laurales,Monimiaceae,Siparuna,decipiens,71,9,MONIMIAC,Siparuna,decipien,SDEC,Birds,,No,NTAmerica,,Drupe1,,,25.0,12.0,,,,,,,,,,,,,,,"Thomas, D.W. (1984)",,,,,,,,,
Magnoliopsida,Magnoliidae,Magnoliales,Myristicaceae,Virola,sebifera,8,19,MYRISTIC,Virola,sebifera,VSEB,Mixed,,No,NTAmerica,,Aril,,,14.0,10.0,,0.120,0.360,1.0,0.6900,13.0,28.84,3.37,47.8,0.537,0.071,0.084,0.025,,"Dowsett-Lemaire, F. (1988)",,,,,,,,,
