CL,SCL,ORD,Fam,GEN,SP,REF,NEWREF,FAMLAB,GENLAB,SPLAB,COD,DISPCAT,DISP,MEGAFAUNA,AREA,HABIT,FRUIT,COLOR,COMPCOLOR,LENG,DIAM,FRFM,PDM,SDM,SEEDS,SEEDM,RY,KJG,KJFR,PCW,LIP,PRO,NSC,ASH,FIB,REFERENCE,,,Growth habit,Fruit type,Color,CompColor,Disperser type category,Disperser type,Area
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Viburnum,costaricanum,38,49,CAPRIFOL,Viburnum,costaric,VCOS,Birds,,No,NTAmerica,,Drupe1,,,11.2,5.9,0.309,0.013,0.070,1.0,0.0700,4.2,,,25.6,,,,,,"Herrera, C.M. and P. Jordano (unpubl. data)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,pyrenaica,0,17,CAPRIFOL,Lonicera,pyrenaic,LPYR,Birds,,No,NEurope,,Berry2,,,8.1,8.6,0.358,0.043,0.012,5.7,0.0020,12.1,16.87,0.73,83.5,0.023,0.033,0.861,0.029,0.054,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,ebulus,0,17,CAPRIFOL,Sambucus,ebulus,SEBU,Birds,,No,MEurope,,Berry1,,,5.4,6.2,0.140,0.023,0.009,3.0,0.0030,16.4,,,77.0,,,,,,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,japonica,3,46,CAPRIFOL,Lonicera,japonica,LJAP,Birds,,No,NAmerica,,Berry2,,,,,0.230,0.033,0.016,,,14.3,16.45,0.54,83.6,0.050,0.118,0.713,0.119,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Viburnum,lantago,19,36,CAPRIFOL,Viburnum,lantago,VLAN,Birds,,No,NAmerica,,Drupe1,,,11.5,,0.403,,,1.0,,,17.54,,59.0,,0.072,,,,"Sherburne, J.A. (1972)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Viburnum,tinus,0,17,CAPRIFOL,Viburnum,tinus,VTIN,Birds,,No,MEurope,,Drupe1,,,8.1,5.4,0.105,0.036,0.038,1.0,0.0380,34.7,21.18,0.77,29.5,0.216,0.037,0.340,0.043,0.370,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Lonicera,etrusca,0,17,CAPRIFOL,Lonicera,etrusca,LETR,Birds,,No,MEurope,,Berry2,,,8.5,6.5,0.192,0.039,0.027,3.0,0.0090,20.5,15.78,0.62,69.2,0.023,0.035,0.782,0.093,0.067,"Herrera, C.M. (1987)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Symphoricarpos,orbicularis,3,46,CAPRIFOL,Symphori,orbicula,SORB,Birds,,No,NAmerica,,Berry2,,,,,0.045,0.009,0.006,,,20.0,,,,,,,,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,sp.1,3,46,CAPRIFOL,Sambucus,sp.1,SSP1,Birds,,No,NAmerica,,Berry2,,,,,,,,,,,17.37,,79.8,0.025,0.129,0.815,0.035,,"White, S.C. (1974)",,,,,,,,,
Magnoliopsida,Asteridae,Dipsacales,Caprifoliaceae,Sambucus,caerulea,41,33,CAPRIFOL,Sambucus,caerulea,SCAE,Birds,,No,NAmerica,,Berry1,,,,4.2,0.039,0.002,,3.0,,5.1,,,,,,,,,"Piper, J.K. (1986)",,,,,,,,,
