Name,Type,sw,sl,fw,fl
PN2,C,24.68,16.06,NA,NA
PN2,C,26.14,17.86,NA,NA
PN2,C,25.32,18.34,NA,NA
PN2,C,22.82,16.98,NA,NA
PN2,C,26.6,16.58,NA,NA
PN2,C,21.72,15.78,NA,NA
PN2,C,22.26,15.6,NA,NA
PN2,C,23.9,15,NA,NA
PN2,C,24.26,16.36,NA,NA
PN2,C,21.92,17.56,NA,NA
PN2,C,22.6,16.38,NA,NA
PN2,C,21.44,16.02,NA,NA
FS1,F,19.98,14.6,NA,NA
FS1,F,17.8,14.16,NA,NA
FS1,F,23.84,16.66,NA,NA
FS1,F,23.48,18.18,NA,NA
FS1,F,24.68,16.84,NA,NA
FS1,F,22.78,15.4,NA,NA
FS1,F,22.94,16.18,NA,NA
FS1,F,14.9,11.96,NA,NA
PN6,C,29.88,19.5,36.68,23.7
PN6,C,33.2,17.98,37.08,22.1
PN6,C,26.08,17.56,31.46,21.18
PN6,C,29.76,19.66,36.7,25.46
PN6,C,29.18,18.9,35.6,22.18
PN6,C,31.86,19.18,38.4,23.7
PN6,C,28.84,19,34.46,23.06
PN6,C,30.72,19,36.82,23.74
PN6,C,28.04,17.9,34.34,23.12
PN6,C,29.58,18.8,35.26,23.52
PN6,C,29.88,18.26,35.46,22.7
PN6,C,25.3,18.92,30.68,21.9
PN6,C,27.48,18.9,33.8,22.46
PN6,C,30.4,18.18,36.92,22.64
PN6,C,31.98,18.86,38.92,24.42
PN6,C,26.5,17.98,33.2,23.16
PN6,C,30.44,18.44,36,22.56
PN6,C,30.94,18.98,37.92,24.26
PN6,C,30.18,18.04,36.54,23.54
PN6,C,25.98,17.72,32.54,20.18
PN6,C,29.16,20.4,35.88,24.74
PN6,C,28.5,18.92,34.9,24
PN6,C,27.98,19.8,34.2,23.72
PN6,C,28.76,18.84,35.32,23
PN6,C,29.46,19,36.54,24.12
PN6,C,32.16,19.2,38.16,21.58
PN6,C,30.9,18.36,36.82,22.8
PN6,C,27.12,18,33.2,21.98
PN6,C,27.3,17.48,32.92,22.06
PN6,C,30.8,19,37.36,24.72
PN6,C,28.64,18.12,34.94,22.96
PN6,C,31,19.04,36.78,23.14
PN6,C,30.04,17.44,36.26,21.7
PN6,C,28.26,18.18,34.34,21.8
PN6,C,29,18.56,34.8,22.58
PN6,C,28.76,18.24,35.58,22.98
PN6,C,29.06,16.72,34.98,20.48
