Date,Name,Type,Crop,Direction,Class,Pyf,Pys,Bel,Dyso,Ecc,CS,Lpoma,Pha,Pd,Pp,Unid,Poly,Can,Gob,Mal
26-01-2012,PN7,C,100,S,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,PN7,C,100,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,PN7,C,100,E,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26-01-2012,PN7,C,100,E,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
26-01-2012,PN7,C,100,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,PN7,C,100,W,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,PN7,C,100,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,PN7,C,100,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,PN7,C,100,W,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,Below,0,0,2,0,0,0,0,5,2,1,0,0,0,0,0,0
26-01-2012,FS2,F,,N,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,S,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
26-01-2012,FS2,F,,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,S,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,S,4,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0
26-01-2012,FS2,F,,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,E,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,E,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,W,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,W,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26-01-2012,FS2,F,,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,Below,0,41,47,0,0,0,0,0,1,2,0,0,0,0,0,0
28-01-2012,PN1,C,100,N,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,N,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,N,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,N,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,S,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,S,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,S,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,S,4,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,E,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,E,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,E,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,E,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,W,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,W,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,W,3,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN1,C,100,W,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,Below,0,89,45,0,0,0,0,0,0,0,0,0,0,0,0,0
28-01-2012,PN2,C,200,N,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
