Date,Group,Sex,Day,Time,Act,TRee,Part,Rate,Spent
24-12-2011,1,M,2,13:30,Re,NA,NA,NA,0
25-12-2011,1,M,3,08:20,Ot,NA,NA,NA,29
25-12-2011,1,M,3,08:49,Fe,K,pet,11,17
25-12-2011,1,M,3,09:06,Mo,NA,NA,NA,3
25-12-2011,1,M,3,09:09,Fe,MP,Ml,5,11
25-12-2011,1,F,3,09:35,Fe,MP,Ml,5,15
25-12-2011,1,F,3,09:50,Re,NA,NA,NA,1
25-12-2011,1,F,3,09:51,Mo,NA,NA,NA,3
25-12-2011,1,F,3,09:54,Re,NA,NA,NA,1
25-12-2011,1,F,3,09:55,Mo,NA,NA,NA,2
25-12-2011,1,F,3,09:57,Re,NA,NA,NA,3
25-12-2011,1,F,3,10:00,Mo,NA,NA,NA,2
25-12-2011,1,F,3,10:02,Fe,BD,UF,3,10
25-12-2011,1,F,3,10:12,Mo,NA,NA,NA,1
25-12-2011,1,F,3,10:13,Re,NA,NA,NA,2
25-12-2011,1,F,3,10:15,Ot,NA,NA,NA,1
25-12-2011,1,F,3,10:16,Re,NA,NA,NA,3
25-12-2011,1,F,3,10:19,Ot,NA,NA,NA,2
25-12-2011,1,F,3,10:21,Mo,NA,NA,NA,7
25-12-2011,1,F,3,10:28,Ot,NA,NA,NA,4
25-12-2011,1,F,3,10:32,Mo,NA,NA,NA,3
25-12-2011,1,M,3,10:50,Re,NA,NA,NA,37
25-12-2011,1,M,3,11:27,Ot,NA,NA,NA,3
25-12-2011,1,M,3,11:30,Re,NA,NA,NA,2
25-12-2011,1,M,3,11:32,Ot,NA,NA,NA,1
25-12-2011,1,M,3,11:33,Re,NA,NA,NA,17
25-12-2011,1,F,3,12:05,Re,NA,NA,NA,10
25-12-2011,1,F,3,12:15,Ot,NA,NA,NA,5
25-12-2011,1,F,3,12:20,Re,NA,NA,NA,3
25-12-2011,1,F,3,12:23,Ot,NA,NA,NA,14
25-12-2011,1,F,3,12:37,Re,NA,NA,NA,3
25-12-2011,1,F,3,12:40,Ot,NA,NA,NA,1
25-12-2011,1,F,3,12:41,Mo,NA,NA,NA,10
25-12-2011,1,F,3,12:51,Fe,LP,ML,NA,4
25-12-2011,1,F,3,12:55,Mo,NA,NA,NA,3
25-12-2011,1,F,3,12:58,Fe,BD,UF,2,7
25-12-2011,1,M,3,13:20,Fe,BD,UF,2,14
25-12-2011,1,M,3,13:34,Mo,NA,NA,NA,1
25-12-2011,1,M,3,13:35,Re,NA,NA,NA,4
25-12-2011,1,M,3,13:39,Ot,NA,NA,NA,2
25-12-2011,1,M,3,13:41,Re,NA,NA,NA,3
25-12-2011,1,M,3,13:44,Ot,NA,NA,NA,1
25-12-2011,1,M,3,13:45,Re,NA,NA,NA,5
25-12-2011,1,M,3,13:50,Mo,NA,NA,NA,1
25-12-2011,1,M,3,13:51,Re,NA,NA,NA,6
25-12-2011,1,M,3,13:57,Fe,HC,Fr,NA,19
25-12-2011,1,M,3,14:16,Re,NA,NA,NA,4
25-12-2011,1,M,3,14:20,Re,NA,NA,NA,0
26-12-2011,1,M,4,09:00,Re,NA,NA,NA,1
26-12-2011,1,M,4,09:01,Ot,NA,NA,NA,1
26-12-2011,1,M,4,09:02,Mo,NA,NA,NA,1
26-12-2011,1,M,4,09:03,Re,NA,NA,NA,1
26-12-2011,1,M,4,09:04,Ot,NA,NA,NA,2
26-12-2011,1,M,4,09:06,Mo,NA,NA,NA,1
26-12-2011,1,M,4,09:07,Re,NA,NA,NA,2
26-12-2011,1,M,4,09:09,Ot,NA,NA,NA,1
26-12-2011,1,M,4,09:10,Re,NA,NA,NA,1
26-12-2011,1,M,4,09:11,Ot,NA,NA,NA,1
26-12-2011,1,M,4,09:12,Re,NA,NA,NA,5
26-12-2011,1,M,4,09:17,Ot,NA,NA,NA,4
26-12-2011,1,M,4,09:21,Re,NA,NA,NA,1
26-12-2011,1,M,4,09:22,Ot,NA,NA,NA,2
26-12-2011,1,M,4,09:24,Re,NA,NA,NA,6
26-12-2011,1,M,4,09:30,Ot,NA,NA,NA,7
26-12-2011,1,M,4,09:37,Re,NA,NA,NA,2
26-12-2011,1,M,4,09:39,Ot,NA,NA,NA,2
26-12-2011,1,M,4,09:41,Re,NA,NA,NA,7
26-12-2011,1,M,4,09:48,Ot,NA,NA,NA,7
26-12-2011,1,M,4,09:55,Re,NA,NA,NA,5
26-12-2011,1,F,4,10:15,Re,NA,NA,NA,2
26-12-2011,1,F,4,10:17,Ot,NA,NA,NA,14
26-12-2011,1,F,4,10:31,Mo,NA,NA,NA,9
26-12-2011,1,F,4,10:40,Fe,K,pet,NA,16
26-12-2011,1,F,4,10:56,Fe,DI,RF,NA,8
26-12-2011,1,F,4,11:04,Re,NA,NA,NA,5
26-12-2011,1,F,4,11:09,Ot,NA,NA,NA,2
26-12-2011,1,F,4,11:11,Re,NA,NA,NA,3
26-12-2011,1,F,4,11:14,Ot,NA,NA,NA,1
26-12-2011,1,M,4,11:30,Fe,LP,ML,5,5
26-12-2011,1,M,4,11:35,Re,NA,NA,NA,3
26-12-2011,1,M,4,11:38,Fe,LP,ML,5,5
26-12-2011,1,M,4,11:43,Mo,NA,NA,NA,1
26-12-2011,1,M,4,11:44,Re,NA,NA,NA,42
26-12-2011,1,M,4,12:26,Ot,NA,NA,NA,4
26-12-2011,1,F,4,12:45,Mo,NA,NA,NA,5
26-12-2011,1,F,4,12:50,Re,NA,NA,NA,6
26-12-2011,1,F,4,12:56,Mo,NA,NA,NA,1
26-12-2011,1,F,4,12:57,Fe,LP,ML,NA,2
26-12-2011,1,F,4,12:59,Mo,NA,NA,NA,1
26-12-2011,1,F,4,13:00,Re,NA,NA,NA,1
26-12-2011,1,F,4,13:01,Mo,NA,NA,NA,1
26-12-2011,1,F,4,13:02,Re,NA,NA,NA,1
26-12-2011,1,F,4,13:03,Mo,NA,NA,NA,6
26-12-2011,1,F,4,13:09,Re,NA,NA,NA,5
26-12-2011,1,F,4,13:14,Mo,NA,NA,NA,5
26-12-2011,1,F,4,13:19,Fe,SM,ML,NA,19
26-12-2011,1,F,4,13:38,Re,NA,NA,NA,7
26-12-2011,1,F,4,13:45,Re,NA,NA,NA,0
27-12-2011,1,M,5,08:00,Fe,K,pet,6,7
27-12-2011,1,M,5,08:07,Mo,NA,NA,NA,1
27-12-2011,1,M,5,08:08,Fe,K,pet,7,5
27-12-2011,1,M,5,08:13,Mo,NA,NA,NA,1
27-12-2011,1,M,5,08:14,Fe,LP,ML,10,17
27-12-2011,1,M,5,08:31,Re,NA,NA,NA,4
27-12-2011,1,M,5,08:35,Mo,NA,NA,NA,5
27-12-2011,1,M,5,08:40,Fe,Bb,Sp,NA,3
27-12-2011,1,M,5,08:43,Mo,NA,NA,NA,3
27-12-2011,1,M,5,08:46,Re,NA,NA,NA,2
27-12-2011,1,M,5,08:48,Mo,NA,NA,NA,3
27-12-2011,1,M,5,08:51,Re,NA,NA,NA,4
27-12-2011,1,M,5,08:55,Fe,LP,ML,NA,5
27-12-2011,1,F,5,09:15,Ot,NA,NA,NA,2
27-12-2011,1,F,5,09:17,Re,NA,NA,NA,3
27-12-2011,1,F,5,09:20,Fe,K,pet,6,2
27-12-2011,1,F,5,09:22,Mo,NA,NA,NA,1
27-12-2011,1,F,5,09:23,Re,NA,NA,NA,2
27-12-2011,1,F,5,09:25,Mo,NA,NA,NA,1
27-12-2011,1,F,5,09:26,Re,NA,NA,NA,1
27-12-2011,1,F,5,09:27,Mo,NA,NA,NA,1
27-12-2011,1,F,5,09:28,Fe,K,pet,6,5
27-12-2011,1,F,5,09:33,Re,NA,NA,NA,2
27-12-2011,1,F,5,09:35,Fe,K,pet,6,2
27-12-2011,1,F,5,09:37,Mo,NA,NA,NA,3
27-12-2011,1,F,5,09:40,Re,NA,NA,NA,8
27-12-2011,1,F,5,09:48,Ot,NA,NA,NA,1
27-12-2011,1,F,5,09:49,Re,NA,NA,NA,5
27-12-2011,1,F,5,09:54,Ot,NA,NA,NA,1
27-12-2011,1,F,5,09:55,Re,NA,NA,NA,12
27-12-2011,1,F,5,10:07,Ot,NA,NA,NA,1
27-12-2011,1,F,5,10:08,Re,NA,NA,NA,7
27-12-2011,1,M,5,10:30,Mo,NA,NA,NA,4
27-12-2011,1,M,5,10:34,Re,NA,NA,NA,1
27-12-2011,1,M,5,10:35,Fe,DI,RF,8,18
27-12-2011,1,M,5,10:53,Re,NA,NA,NA,37
27-12-2011,1,F,5,11:35,Re,NA,NA,NA,25
27-12-2011,1,F,5,12:00,Ot,NA,NA,NA,2
27-12-2011,1,F,5,12:02,Re,NA,NA,NA,2
27-12-2011,1,F,5,12:04,Mo,NA,NA,NA,4
27-12-2011,1,F,5,12:08,Fe,PA,YL,NA,26
27-12-2011,1,F,5,12:34,Mo,NA,NA,NA,1
27-12-2011,1,F,5,12:35,Re,NA,NA,NA,0
05-01-2012,2,F,6,09:00,Fe,K,SB,10,3
05-01-2012,2,F,6,09:03,Re,NA,NA,NA,3
05-01-2012,2,F,6,09:06,Ot,NA,NA,NA,5
05-01-2012,2,F,6,09:11,Re,NA,NA,NA,1
05-01-2012,2,F,6,09:12,Ot,NA,NA,NA,1
05-01-2012,2,F,6,09:13,Fe,K,SB,NA,20
05-01-2012,2,F,6,09:33,Ot,NA,NA,NA,3
05-01-2012,2,F,6,09:36,Mo,NA,NA,NA,1
