Individual,Individual from RTR,Sample ID,Method,Buffalo,Canis lupus familiaris,Caracal,Cattle,Chital,Duck,Gazelle,Gyps fulvus,Junlgefowl,Leopard,Mus musculus,Nilgai,Primate,Sambar,Slothbear,Wildpig
Individual 2,NA,77,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
Unknown,NA,78,Metabarcoding,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0
Unknown,NA,80,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,83,Metabarcoding,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0
Unknown,NA,84,Metabarcoding,1,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
Individual 5,T60,86,Metabarcoding,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0
Individual 15,NA,87,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,89,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
Individual 2,NA,90,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Unknown,NA,91,Metabarcoding,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0
Individual 14,T108,93,Metabarcoding,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1
Unknown,NA,94,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,95,Metabarcoding,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,96,Metabarcoding,0,0,0,1,1,0,1,0,0,0,0,1,1,1,0,0
Unknown,NA,98,Metabarcoding,0,0,0,1,1,0,0,0,0,1,0,1,0,1,1,1
Individual 16,T74,100,Metabarcoding,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Individual 16,T74,101,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
Individual 12,T39,102,Metabarcoding,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1
Unknown,NA,103,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,104,Metabarcoding,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0
Unknown,NA,105,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
Individual 13,NA,106,Metabarcoding,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0
Unknown,NA,107,Metabarcoding,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
